longitude,latitude,time,d2m,t2m
126.4,34.74,2019-01-01 00:00:00,269.6062,275.6395
126.4,34.74,2019-01-01 01:00:00,269.71457,275.91623
126.4,34.74,2019-01-01 02:00:00,270.18622,276.23624
126.4,34.74,2019-01-01 03:00:00,270.46948,276.2588
126.4,34.74,2019-01-01 04:00:00,270.42413,276.24414
126.4,34.74,2019-01-01 05:00:00,270.59726,276.13382
126.4,34.74,2019-01-01 06:00:00,270.33875,276.14664
126.4,34.74,2019-01-01 07:00:00,270.3034,275.99057
126.4,34.74,2019-01-01 08:00:00,269.62625,275.69617
126.4,34.74,2019-01-01 09:00:00,269.34183,275.609
126.4,34.74,2019-01-01 10:00:00,269.00558,275.5304
126.4,34.74,2019-01-01 11:00:00,268.8348,275.5328
126.4,34.74,2019-01-01 12:00:00,268.86368,275.5243
126.4,34.74,2019-01-01 13:00:00,268.75827,275.61267
126.4,34.74,2019-01-01 14:00:00,268.54276,275.53647
126.4,34.74,2019-01-01 15:00:00,268.55807,275.634
126.4,34.74,2019-01-01 16:00:00,268.52686,275.69922
126.4,34.74,2019-01-01 17:00:00,268.47092,275.46213
126.4,34.74,2019-01-01 18:00:00,268.50214,275.4164
126.4,34.74,2019-01-01 19:00:00,268.571,275.37677
126.4,34.74,2019-01-01 20:00:00,268.49918,275.19147
126.4,34.74,2019-01-01 21:00:00,268.571,275.13968
126.4,34.74,2019-01-01 22:00:00,268.9043,275.22806
126.4,34.74,2019-01-01 23:00:00,268.962,275.25
126.4,34.74,2019-01-02 00:00:00,269.1516,275.4883
126.4,34.74,2019-01-02 01:00:00,269.3165,275.84552
126.4,34.74,2019-01-02 02:00:00,269.56442,276.91098
126.4,34.74,2019-01-02 03:00:00,269.80466,277.04813
126.4,34.74,2019-01-02 04:00:00,269.60974,277.21637
126.4,34.74,2019-01-02 05:00:00,269.36243,277.10788
126.4,34.74,2019-01-02 06:00:00,269.24112,276.96768
126.4,34.74,2019-01-02 07:00:00,269.21582,276.71716
126.4,34.74,2019-01-02 08:00:00,268.9938,275.98816
126.4,34.74,2019-01-02 09:00:00,268.72824,275.7285
126.4,34.74,2019-01-02 10:00:00,269.02325,275.12137
126.4,34.74,2019-01-02 11:00:00,268.99677,275.05615
126.4,34.74,2019-01-02 12:00:00,269.02148,274.9836
126.4,34.74,2019-01-02 13:00:00,269.0527,274.8855
126.4,34.74,2019-01-02 14:00:00,269.005,274.68192
126.4,34.74,2019-01-02 15:00:00,268.90784,274.54538
