lon,lat,lev,time,dni
1.0,32.5,8.0,2020-04-01,776.0467
1.0,32.5,8.0,2020-04-02,779.1447
1.0,32.5,8.0,2020-04-03,783.568
1.0,32.5,8.0,2020-04-04,831.6874
1.0,32.5,8.0,2020-04-05,606.8581
1.0,32.5,8.0,2020-04-06,788.8362
1.0,32.5,8.0,2020-04-07,784.3106
1.0,32.5,8.0,2020-04-08,782.332
1.0,32.5,8.0,2020-04-09,775.95624
1.0,32.5,8.0,2020-04-10,-82.79262
1.0,32.5,8.0,2020-04-11,788.54767
1.0,32.5,8.0,2020-04-12,825.15564
1.0,32.5,8.0,2020-04-13,331.01392
1.0,32.5,8.0,2020-04-14,-81.76178
1.0,32.5,8.0,2020-04-15,805.2847
1.0,32.5,8.0,2020-04-16,-82.79262
1.0,32.5,8.0,2020-04-17,-82.68008
1.0,32.5,8.0,2020-04-18,-82.79262
1.0,32.5,8.0,2020-04-19,-66.631645
1.0,32.5,8.0,2020-04-20,829.89453
1.0,32.5,8.0,2020-04-21,839.25745
1.0,32.5,8.0,2020-04-22,806.6055
1.0,32.5,8.0,2020-04-23,841.702
1.0,32.5,8.0,2020-04-24,809.7097
1.0,32.5,8.0,2020-04-25,810.0443
1.0,32.5,8.0,2020-04-26,829.30237
1.0,32.5,8.0,2020-04-27,823.344
1.0,32.5,8.0,2020-04-28,822.3834
1.0,32.5,8.0,2020-04-29,803.10803
1.0,32.5,8.0,2020-04-30,-81.13817
1.0,32.5,8.0,2020-05-01,-82.792366
1.0,32.5,8.0,2020-05-02,-61.90999
1.0,32.5,8.0,2020-05-03,290.7453
1.0,32.5,8.0,2020-05-04,748.587
1.0,32.5,8.0,2020-05-05,826.4452
1.0,32.5,8.0,2020-05-06,824.5047
1.0,32.5,8.0,2020-05-07,-82.768654
1.0,32.5,8.0,2020-05-08,-82.62198
1.0,32.5,8.0,2020-05-09,217.2917
1.0,32.5,8.0,2020-05-10,824.38324
1.0,32.5,8.0,2020-05-11,829.08795
1.0,32.5,8.0,2020-05-12,821.3417
1.0,32.5,8.0,2020-05-13,-82.79262
1.0,32.5,8.0,2020-05-14,-82.792534
1.0,32.5,8.0,2020-05-15,-81.16927
1.0,32.5,8.0,2020-05-16,5.7127104
1.0,32.5,8.0,2020-05-17,788.0608
1.0,32.5,8.0,2020-05-18,801.4173
1.0,32.5,8.0,2020-05-19,798.12177
1.0,32.5,8.0,2020-05-20,241.66185
1.0,32.5,8.0,2020-05-21,793.868
1.0,32.5,8.0,2020-05-22,777.58344
1.0,32.5,8.0,2020-05-23,-76.99578
1.0,32.5,8.0,2020-05-24,-82.60144
1.0,32.5,8.0,2020-05-25,26.224
1.0,32.5,8.0,2020-05-26,767.8799
1.0,32.5,8.0,2020-05-27,268.2427
1.0,32.5,8.0,2020-05-28,-82.713356
1.0,32.5,8.0,2020-05-29,-82.79262
1.0,32.5,8.0,2020-05-30,813.35175
1.0,32.5,8.0,2020-05-31,-82.79261
1.0,32.5,8.0,2020-06-01,-73.20551
1.0,32.5,8.0,2020-06-02,-82.75252
1.0,32.5,8.0,2020-06-03,254.79338
1.0,32.5,8.0,2020-06-04,54.248585
1.0,32.5,8.0,2020-06-05,794.6006
1.0,32.5,8.0,2020-06-06,788.61633
1.0,32.5,8.0,2020-06-07,759.9489
1.0,32.5,8.0,2020-06-08,-82.79262
1.0,32.5,8.0,2020-06-09,557.833
