lon,lat,lev,time,pe
1.0,32.5,8.0,2020-04-01,0.32635382
1.0,32.5,8.0,2020-04-02,0.35234657
1.0,32.5,8.0,2020-04-03,0.35162458
1.0,32.5,8.0,2020-04-04,0.4057762
1.0,32.5,8.0,2020-04-05,0.38916966
1.0,32.5,8.0,2020-04-06,0.33790612
1.0,32.5,8.0,2020-04-07,0.3039711
1.0,32.5,8.0,2020-04-08,0.32202166
1.0,32.5,8.0,2020-04-09,0.3703971
1.0,32.5,8.0,2020-04-10,0.05270758
1.0,32.5,8.0,2020-04-11,0.3169675
1.0,32.5,8.0,2020-04-12,0.43393502
1.0,32.5,8.0,2020-04-13,0.38628158
1.0,32.5,8.0,2020-04-14,0.2028881
1.0,32.5,8.0,2020-04-15,0.40216607
1.0,32.5,8.0,2020-04-16,0.018772563
1.0,32.5,8.0,2020-04-17,0.2064982
1.0,32.5,8.0,2020-04-18,0.033212997
1.0,32.5,8.0,2020-04-19,0.32129964
1.0,32.5,8.0,2020-04-20,0.3566787
1.0,32.5,8.0,2020-04-21,0.42021662
1.0,32.5,8.0,2020-04-22,0.31985557
1.0,32.5,8.0,2020-04-23,0.433213
1.0,32.5,8.0,2020-04-24,0.38122743
1.0,32.5,8.0,2020-04-25,0.40288806
1.0,32.5,8.0,2020-04-26,0.4137184
1.0,32.5,8.0,2020-04-27,0.4057762
1.0,32.5,8.0,2020-04-28,0.41516244
1.0,32.5,8.0,2020-04-29,0.41155234
1.0,32.5,8.0,2020-04-30,0.299639
1.0,32.5,8.0,2020-05-01,0.02599278
1.0,32.5,8.0,2020-05-02,0.1833935
1.0,32.5,8.0,2020-05-03,0.2505415
1.0,32.5,8.0,2020-05-04,0.40794224
1.0,32.5,8.0,2020-05-05,0.44476536
1.0,32.5,8.0,2020-05-06,0.3711191
1.0,32.5,8.0,2020-05-07,0.033935018
1.0,32.5,8.0,2020-05-08,0.08808664
1.0,32.5,8.0,2020-05-09,0.37545127
1.0,32.5,8.0,2020-05-10,0.42166063
1.0,32.5,8.0,2020-05-11,0.44187728
1.0,32.5,8.0,2020-05-12,0.31913358
1.0,32.5,8.0,2020-05-13,0.012274368
1.0,32.5,8.0,2020-05-14,0.14945848
1.0,32.5,8.0,2020-05-15,0.10613718
1.0,32.5,8.0,2020-05-16,0.18267149
1.0,32.5,8.0,2020-05-17,0.16534296
1.0,32.5,8.0,2020-05-18,0.38772565
1.0,32.5,8.0,2020-05-19,0.44620937
1.0,32.5,8.0,2020-05-20,0.40072203
1.0,32.5,8.0,2020-05-21,0.21371841
1.0,32.5,8.0,2020-05-22,0.34151623
1.0,32.5,8.0,2020-05-23,0.22310469
1.0,32.5,8.0,2020-05-24,0.09602889
1.0,32.5,8.0,2020-05-25,0.33212996
1.0,32.5,8.0,2020-05-26,0.37833935
1.0,32.5,8.0,2020-05-27,0.4137184
1.0,32.5,8.0,2020-05-28,0.21083032
1.0,32.5,8.0,2020-05-29,0.20577617
1.0,32.5,8.0,2020-05-30,0.40866426
1.0,32.5,8.0,2020-05-31,0.09530686
1.0,32.5,8.0,2020-06-01,0.23826715
1.0,32.5,8.0,2020-06-02,0.18411553
1.0,32.5,8.0,2020-06-03,0.25198555
1.0,32.5,8.0,2020-06-04,0.37906137
1.0,32.5,8.0,2020-06-05,0.4036101
1.0,32.5,8.0,2020-06-06,0.39494586
1.0,32.5,8.0,2020-06-07,0.39277977
1.0,32.5,8.0,2020-06-08,0.117689535
1.0,32.5,8.0,2020-06-09,0.08086642
1.0,32.5,8.0,2020-06-10,0.058483753
1.0,32.5,8.0,2020-06-11,0.0093862815
1.0,32.5,8.0,2020-06-12,0.3768953
1.0,32.5,8.0,2020-06-13,0.28664258
1.0,32.5,8.0,2020-06-14,0.27870038
1.0,32.5,8.0,2020-06-15,0.041877255
1.0,32.5,8.0,2020-06-16,0.29169676
1.0,32.5,8.0,2020-06-17,0.37472925
1.0,32.5,8.0,2020-06-18,0.3776173
1.0,32.5,8.0,2020-06-19,0.26714802
1.0,32.5,8.0,2020-06-20,0.42166063
1.0,32.5,8.0,2020-06-21,0.036101084
1.0,32.5,8.0,2020-06-22,0.10469314
1.0,32.5,8.0,2020-06-23,0.38916966
1.0,32.5,8.0,2020-06-24,0.27436823
1.0,32.5,8.0,2020-06-25,0.30974728
1.0,32.5,8.0,2020-06-26,0.09963899
1.0,32.5,8.0,2020-06-27,0.07509025
1.0,32.5,8.0,2020-06-28,0.18194945
1.0,32.5,8.0,2020-06-29,0.08736462
1.0,32.5,8.0,2020-06-30,0.090974726
1.0,32.5,8.0,2020-07-01,0.07436823
1.0,32.5,8.0,2020-07-02,0.2028881
1.0,32.5,8.0,2020-07-03,0.30758125
1.0,32.5,8.0,2020-07-04,0.38772565
1.0,32.5,8.0,2020-07-05,0.20794225
1.0,32.5,8.0,2020-07-06,0.05703971
1.0,32.5,8.0,2020-07-07,0.15523465
1.0,32.5,8.0,2020-07-08,0.06281588
1.0,32.5,8.0,2020-07-09,0.0057761734
1.0,32.5,8.0,2020-07-10,0.19061372
1.0,32.5,8.0,2020-07-11,0.16895306
1.0,32.5,8.0,2020-07-12,0.2700361
1.0,32.5,8.0,2020-07-13,0.31768954
1.0,32.5,8.0,2020-07-14,0.13357401
1.0,32.5,8.0,2020-07-15,0.10541516
1.0,32.5,8.0,2020-07-16,0.1234657
1.0,32.5,8.0,2020-07-17,0.12563176
1.0,32.5,8.0,2020-07-18,0.06859206
1.0,32.5,8.0,2020-07-19,0.007942238
1.0,32.5,8.0,2020-07-20,0.051263537
1.0,32.5,8.0,2020-07-21,0.09602889
1.0,32.5,8.0,2020-07-22,0.2765343
1.0,32.5,8.0,2020-07-23,0.1400722
1.0,32.5,8.0,2020-07-24,0.17906137
