lon,lat,lev,time,dni
1.0,32.5,8.0,2020-04-01,359.00027
1.0,32.5,8.0,2020-04-02,353.75003
1.0,32.5,8.0,2020-04-03,508.86197
1.0,32.5,8.0,2020-04-04,712.2502
1.0,32.5,8.0,2020-04-05,614.5834
1.0,32.5,8.0,2020-04-06,332.1387
1.0,32.5,8.0,2020-04-07,366.7764
1.0,32.5,8.0,2020-04-08,326.99863
1.0,32.5,8.0,2020-04-09,317.10947
1.0,32.5,8.0,2020-04-10,0.0
1.0,32.5,8.0,2020-04-11,291.2167
1.0,32.5,8.0,2020-04-12,670.7211
1.0,32.5,8.0,2020-04-13,529.03766
1.0,32.5,8.0,2020-04-14,176.89049
1.0,32.5,8.0,2020-04-15,468.19458
1.0,32.5,8.0,2020-04-16,35.691135
1.0,32.5,8.0,2020-04-17,55.393585
1.0,32.5,8.0,2020-04-18,0.0
1.0,32.5,8.0,2020-04-19,237.91565
1.0,32.5,8.0,2020-04-20,534.0282
1.0,32.5,8.0,2020-04-21,673.5278
1.0,32.5,8.0,2020-04-22,318.31717
1.0,32.5,8.0,2020-04-23,766.0834
1.0,32.5,8.0,2020-04-24,480.1107
1.0,32.5,8.0,2020-04-25,467.19925
1.0,32.5,8.0,2020-04-26,617.27826
1.0,32.5,8.0,2020-04-27,595.7779
1.0,32.5,8.0,2020-04-28,601.8611
1.0,32.5,8.0,2020-04-29,621.25006
1.0,32.5,8.0,2020-04-30,78.5608
1.0,32.5,8.0,2020-05-01,13.854234
1.0,32.5,8.0,2020-05-02,30.398163
1.0,32.5,8.0,2020-05-03,219.68915
1.0,32.5,8.0,2020-05-04,395.2193
1.0,32.5,8.0,2020-05-05,562.6741
1.0,32.5,8.0,2020-05-06,472.7401
1.0,32.5,8.0,2020-05-07,0.0
1.0,32.5,8.0,2020-05-08,0.0
1.0,32.5,8.0,2020-05-09,586.61084
1.0,32.5,8.0,2020-05-10,710.7501
1.0,32.5,8.0,2020-05-11,763.8889
1.0,32.5,8.0,2020-05-12,247.85841
1.0,32.5,8.0,2020-05-13,0.0
1.0,32.5,8.0,2020-05-14,0.41671783
1.0,32.5,8.0,2020-05-15,0.0
1.0,32.5,8.0,2020-05-16,62.9194
1.0,32.5,8.0,2020-05-17,133.08339
1.0,32.5,8.0,2020-05-18,684.25037
1.0,32.5,8.0,2020-05-19,340.3146
1.0,32.5,8.0,2020-05-20,451.21396
1.0,32.5,8.0,2020-05-21,58.129105
1.0,32.5,8.0,2020-05-22,233.0666
1.0,32.5,8.0,2020-05-23,26.891777
1.0,32.5,8.0,2020-05-24,0.0
1.0,32.5,8.0,2020-05-25,306.14062
1.0,32.5,8.0,2020-05-26,273.2497
1.0,32.5,8.0,2020-05-27,581.5558
1.0,32.5,8.0,2020-05-28,61.88697
1.0,32.5,8.0,2020-05-29,42.34368
1.0,32.5,8.0,2020-05-30,589.13916
1.0,32.5,8.0,2020-05-31,13.916698
1.0,32.5,8.0,2020-06-01,98.54906
1.0,32.5,8.0,2020-06-02,160.16904
1.0,32.5,8.0,2020-06-03,182.41368
1.0,32.5,8.0,2020-06-04,316.916
1.0,32.5,8.0,2020-06-05,541.55774
1.0,32.5,8.0,2020-06-06,557.77783
1.0,32.5,8.0,2020-06-07,672.58325
1.0,32.5,8.0,2020-06-08,0.0
1.0,32.5,8.0,2020-06-09,1.0282841
1.0,32.5,8.0,2020-06-10,0.41645354
1.0,32.5,8.0,2020-06-11,6.580628
1.0,32.5,8.0,2020-06-12,656.2197
1.0,32.5,8.0,2020-06-13,630.8885
1.0,32.5,8.0,2020-06-14,345.84534
1.0,32.5,8.0,2020-06-15,3.7791498
1.0,32.5,8.0,2020-06-16,58.63535
1.0,32.5,8.0,2020-06-17,460.2515
1.0,32.5,8.0,2020-06-18,554.8637
1.0,32.5,8.0,2020-06-19,700.05695
1.0,32.5,8.0,2020-06-20,421.71796
1.0,32.5,8.0,2020-06-21,23.887999
1.0,32.5,8.0,2020-06-22,20.176472
1.0,32.5,8.0,2020-06-23,584.6114
1.0,32.5,8.0,2020-06-24,202.44643
1.0,32.5,8.0,2020-06-25,373.8538
1.0,32.5,8.0,2020-06-26,0.0
1.0,32.5,8.0,2020-06-27,108.200676
1.0,32.5,8.0,2020-06-28,55.995926
1.0,32.5,8.0,2020-06-29,8.891503
1.0,32.5,8.0,2020-06-30,0.0
1.0,32.5,8.0,2020-07-01,95.33349
1.0,32.5,8.0,2020-07-02,38.55518
1.0,32.5,8.0,2020-07-03,273.6126
1.0,32.5,8.0,2020-07-04,358.46924
1.0,32.5,8.0,2020-07-05,23.142742
1.0,32.5,8.0,2020-07-06,0.0
1.0,32.5,8.0,2020-07-07,24.056501
1.0,32.5,8.0,2020-07-08,0.5555262
1.0,32.5,8.0,2020-07-09,0.0
1.0,32.5,8.0,2020-07-10,172.29233
1.0,32.5,8.0,2020-07-11,57.760155
1.0,32.5,8.0,2020-07-12,449.78412
1.0,32.5,8.0,2020-07-13,567.6954
1.0,32.5,8.0,2020-07-14,0.0
1.0,32.5,8.0,2020-07-15,17.968895
1.0,32.5,8.0,2020-07-16,108.342255
1.0,32.5,8.0,2020-07-17,30.354254
1.0,32.5,8.0,2020-07-18,0.0
1.0,32.5,8.0,2020-07-19,0.0
1.0,32.5,8.0,2020-07-20,108.75598
1.0,32.5,8.0,2020-07-21,65.46217
1.0,32.5,8.0,2020-07-22,413.81778
1.0,32.5,8.0,2020-07-23,47.142757
1.0,32.5,8.0,2020-07-24,97.07996
1.0,32.5,8.0,2020-07-25,33.896305
1.0,32.5,8.0,2020-07-26,656.55536
1.0,32.5,8.0,2020-07-27,20.167126
1.0,32.5,9.0,2020-04-01,478.5837
1.0,32.5,9.0,2020-04-02,505.52786
1.0,32.5,9.0,2020-04-03,625.4457
1.0,32.5,9.0,2020-04-04,838.02783
1.0,32.5,9.0,2020-04-05,738.3612
1.0,32.5,9.0,2020-04-06,488.02762
1.0,32.5,9.0,2020-04-07,523.88684
1.0,32.5,9.0,2020-04-08,458.11023
1.0,32.5,9.0,2020-04-09,459.13663
1.0,32.5,9.0,2020-04-10,6.8071604
1.0,32.5,9.0,2020-04-11,226.1485
1.0,32.5,9.0,2020-04-12,827.02655
1.0,32.5,9.0,2020-04-13,744.83325
1.0,32.5,9.0,2020-04-14,369.82785
1.0,32.5,9.0,2020-04-15,606.19434
1.0,32.5,9.0,2020-04-16,0.0
1.0,32.5,9.0,2020-04-17,5.0010624
1.0,32.5,9.0,2020-04-18,0.0
1.0,32.5,9.0,2020-04-19,168.95
1.0,32.5,9.0,2020-04-20,743.6388
1.0,32.5,9.0,2020-04-21,776.5835
1.0,32.5,9.0,2020-04-22,323.51044
1.0,32.5,9.0,2020-04-23,864.55554
1.0,32.5,9.0,2020-04-24,620.30493
1.0,32.5,9.0,2020-04-25,787.0221
1.0,32.5,9.0,2020-04-26,721.0835
1.0,32.5,9.0,2020-04-27,708.9721
1.0,32.5,9.0,2020-04-28,712.3058
1.0,32.5,9.0,2020-04-29,716.2779
1.0,32.5,9.0,2020-04-30,81.84051
1.0,32.5,9.0,2020-05-01,160.92174
1.0,32.5,9.0,2020-05-02,258.3212
1.0,32.5,9.0,2020-05-03,164.11195
1.0,32.5,9.0,2020-05-04,549.8303
