year,month,day,hour,power
2013,3,19,01,0.0
2013,3,19,02,0.0
2013,3,19,03,0.0
2013,3,19,04,0.0
2013,3,19,05,0.0
2013,3,19,06,0.0
2013,3,19,07,9600.0
2013,3,19,08,816000.0
2013,3,19,09,2899200.0
2013,3,19,10,5472000.0
2013,3,19,11,7401600.0
2013,3,19,12,8716800.0
2013,3,19,13,7612800.0
2013,3,19,14,6172800.0
2013,3,19,15,4848000.0
2013,3,19,16,3312000.0
2013,3,19,17,1804800.0
2013,3,19,18,672000.0
2013,3,19,19,57600.0
2013,3,19,20,0.0
2013,3,19,21,0.0
2013,3,19,22,0.0
2013,3,19,23,0.0
2013,3,19,24,0.0
2013,3,20,01,0.0
2013,3,20,02,0.0
2013,3,20,03,0.0
2013,3,20,04,0.0
2013,3,20,05,0.0
2013,3,20,06,0.0
2013,3,20,07,9600.0
2013,3,20,08,451200.0
2013,3,20,09,864000.0
2013,3,20,10,729600.0
2013,3,20,11,883200.0
2013,3,20,12,1795200.0
2013,3,20,13,3100800.0
2013,3,20,14,4742400.0
2013,3,20,15,4684800.0
2013,3,20,16,4492800.0
2013,3,20,17,5356800.0
2013,3,20,18,2726400.0
2013,3,20,19,201600.0
2013,3,20,20,0.0
2013,3,20,21,0.0
2013,3,20,22,0.0
2013,3,20,23,0.0
2013,3,20,24,0.0
2013,3,21,01,0.0
2013,3,21,02,0.0
2013,3,21,03,0.0
2013,3,21,04,0.0
2013,3,21,05,0.0
2013,3,21,06,0.0
2013,3,21,07,28800.0
2013,3,21,08,1468800.0
2013,3,21,09,4876800.0
2013,3,21,10,8073600.0
2013,3,21,11,10329600.0
2013,3,21,12,11644800.0
2013,3,21,13,12134400.0
2013,3,21,14,11875200.0
2013,3,21,15,10761600.0
2013,3,21,16,8832000.0
2013,3,21,17,6028800.0
2013,3,21,18,2630400.0
2013,3,21,19,278400.0
2013,3,21,20,0.0
2013,3,21,21,0.0
2013,3,21,22,0.0
2013,3,21,23,0.0
2013,3,21,24,0.0
2013,3,22,01,0.0
2013,3,22,02,0.0
2013,3,22,03,0.0
2013,3,22,04,0.0
2013,3,22,05,0.0
2013,3,22,06,0.0
2013,3,22,07,48000.0
2013,3,22,08,1382400.0
2013,3,22,09,3004800.0
2013,3,22,10,2889600.0
2013,3,22,11,3081600.0
2013,3,22,12,3417600.0
2013,3,22,13,3273600.0
2013,3,22,14,4848000.0
2013,3,22,15,6892800.0
2013,3,22,16,2582400.0
2013,3,22,17,3734400.0
2013,3,22,18,1747200.0
2013,3,22,19,201600.0
2013,3,22,20,0.0
2013,3,22,21,0.0
