지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
133,2021-01-01 00:00,-7.7,,.6,360,90,3.1,-9,1018.8,1028,,,1,,0,0,,,2162,,,-6.4,0,.9,2.1,2.9
133,2021-01-01 01:00,-7.9,,.7,70,90,3,-9.2,1018.9,1028.1,,,1,,0,0,,,1889,,,-6.5,0,.9,2.1,3
133,2021-01-01 02:00,-8.1,,.9,360,91,3,-9.3,1019.2,1028.4,,,1,,0,0,,,1887,,,-6.8,-.1,.8,2.1,2.9
133,2021-01-01 03:00,-8.4,,.7,20,90,2.9,-9.7,1019.5,1028.7,,,1,,0,0,,,1811,,,-7.1,-.1,.8,2.1,2.9
133,2021-01-01 04:00,-8.8,,.2,0,90,2.8,-10.1,1019.5,1028.8,,,1,,0,0,,,1856,,,-7.3,-.1,.8,2,2.8
133,2021-01-01 05:00,-9.1,,.5,20,91,2.8,-10.3,1019,1028.3,,,1,,1,0,Ci,,1797,,,-7.6,-.2,.7,2,2.9
133,2021-01-01 06:00,-9.5,,1,360,91,2.7,-10.6,1019,1028.3,,,1,,0,0,,,1652,,,-7.8,-.2,.7,2,2.8
133,2021-01-01 07:00,-9.5,,1.1,360,92,2.8,-10.5,1018.9,1028.2,,,1,,1,0,Ci,,1593,,,-7.9,-.2,.7,1.9,2.8
133,2021-01-01 08:00,-9.5,,.3,0,92,2.8,-10.5,1019,1028.3,.1,.01,.9,,0,0,,,1857,,,-7.9,-.2,.6,1.9,2.8
133,2021-01-01 09:00,-7.8,,.3,0,90,3.1,-9.1,1019.1,1028.3,1,.53,.9,,4,4,Sc,9,2330,,,-5.9,-.2,.6,1.9,2.7
133,2021-01-01 10:00,-5.4,,.7,360,83,3.4,-7.8,1019.3,1028.4,1,.8,.9,,6,6,Sc,9,3000,,05,-3.1,0,.6,1.9,2.7
133,2021-01-01 11:00,-3.5,,.1,0,72,3.4,-7.8,1019,1028.1,.5,.81,.9,,9,9,Sc,10,2154,,05,-.9,0,.6,1.8,2.7
133,2021-01-01 12:00,-2.8,0,.6,180,66,3.3,-8.2,1018,1027,.1,.57,.9,,8,8,Sc,8,3622,,05,-.2,0,.6,1.8,2.7
133,2021-01-01 13:00,-2.3,,.6,140,79,4.1,-5.4,1017.2,1026.2,0,.62,1.1,,9,9,Sc,6,928,,05,0,0,.6,1.8,2.6
133,2021-01-01 14:00,-1.8,,.6,20,83,4.4,-4.3,1017,1026,0,.64,1.4,,8,8,Sc,6,478,,05,.6,.1,.6,1.8,2.7
133,2021-01-01 15:00,-1.7,.4,.5,180,87,4.7,-3.5,1016.6,1025.6,0,.37,1.7,.8,8,8,Sc,5,1450,,05,0,.2,.6,1.8,2.6
133,2021-01-01 16:00,-1.4,,.6,160,90,5,-2.8,1016.6,1025.6,0,.28,2.3,,8,8,Sc,9,951,,05,0,.2,.6,1.8,2.6
133,2021-01-01 17:00,-1.4,,.2,0,91,5,-2.6,1016.5,1025.5,0,.1,3.3,,10,10,St,9,151,,05,-.2,.2,.6,1.8,2.6
133,2021-01-01 18:00,-1.6,1,.4,0,94,5.1,-2.4,1016.3,1025.3,0,0,3.5,1.8,10,6,StNs,10,542,,05,-.2,.2,.6,1.8,2.6
133,2021-01-01 19:00,-1.7,,.1,0,95,5.1,-2.4,1016.6,1025.6,,,4,,8,8,Sc,7,358,,05,-.2,.2,.6,1.8,2.6
133,2021-01-01 20:00,-1.9,,.3,0,95,5.1,-2.5,1017,1026,,,4.6,,8,8,Sc,6,371,,05,-.2,.2,.6,1.8,2.6
133,2021-01-01 21:00,-2,.6,.3,0,95,5,-2.6,1017.2,1026.2,,,5,1.4,9,9,Sc,5,275,,05,-.2,.2,.7,1.8,2.6
133,2021-01-01 22:00,-2.6,,.7,360,95,4.8,-3.2,1017.3,1026.3,,,5.3,,7,7,Sc,6,527,,05,-.2,.2,.7,1.8,2.5
133,2021-01-01 23:00,-3.2,,.3,0,96,4.6,-3.7,1017,1026,,,5.3,,6,6,Sc,3,478,,1905,-.3,.2,.7,1.8,2.5
133,2021-01-02 00:00,-3.1,.1,.4,0,97,4.7,-3.5,1017,1026,,,5.1,.4,8,8,,,578,,19,-.4,.3,.7,1.8,2.5
133,2021-01-02 01:00,-3.7,,.7,20,97,4.5,-4.1,1017.1,1026.2,,,4.9,,6,6,Sc,5,441,,1905,-.4,.3,.7,1.8,2.5
133,2021-01-02 02:00,-3.2,,.4,0,97,4.7,-3.6,1017.4,1026.4,,,4.6,,8,8,Sc,5,487,,1905,-.4,.3,.7,1.8,2.6
133,2021-01-02 03:00,-3.5,0,.7,20,97,4.6,-3.9,1017.6,1026.7,,,4.5,,8,8,Sc,18,487,,19,-.6,.3,.7,1.8,2.5
133,2021-01-02 04:00,-4.2,,.7,20,96,4.3,-4.7,1017.7,1026.8,,,4.4,,4,4,Sc,18,473,,19,-.9,.3,.7,1.8,2.5
133,2021-01-02 05:00,-4.9,,.3,0,95,4.1,-5.5,1018.1,1027.2,,,4.3,,7,7,Sc,20,404,,19,-1.1,.3,.7,1.8,2.5
133,2021-01-02 06:00,-5.3,,.7,140,96,4,-5.8,1018.7,1027.8,,,4.2,,4,4,Sc,19,342,,19,-1.3,.3,.7,1.8,2.5
133,2021-01-02 07:00,-6.4,,1,20,93,3.5,-7.3,1019.2,1028.4,,,4,,6,6,Sc,19,1131,,19,-1.9,.3,.7,1.8,2.5
133,2021-01-02 08:00,-7,,.5,20,91,3.3,-8.2,1019.7,1028.9,0,0,3.9,,0,0,,,1707,,,-2.2,.2,.7,1.8,2.5
133,2021-01-02 09:00,-6.1,,.3,0,90,3.5,-7.4,1020.5,1029.7,.8,.34,3.9,,0,0,,,2472,,,-2.4,.3,.7,1.8,2.5
133,2021-01-02 10:00,-3.7,,.7,20,63,2.9,-9.7,1021.5,1030.6,1,.89,3.9,,0,0,,,4638,,,-1.6,.4,.7,1.8,2.6
133,2021-01-02 11:00,-2.1,,1.8,20,43,2.3,-13,1021.7,1030.7,1,1.39,3.7,,2,2,Sc,16,5803,,,-.5,.5,.8,1.8,2.5
133,2021-01-02 12:00,-.9,,2.4,20,39,2.2,-13.1,1021.5,1030.5,1,1.78,3.7,,0,0,,,4721,,,-.2,.6,.8,1.8,2.5
133,2021-01-02 13:00,-.2,,1.6,50,40,2.4,-12.2,1020.8,1029.8,1,1.91,3.4,,0,0,,,4412,,,-.1,.7,.8,1.8,2.5
133,2021-01-02 14:00,.6,,1.7,20,40,2.6,-11.4,1020.6,1029.5,1,1.79,2.7,,0,0,,,4368,,,2.1,.8,.8,1.8,2.6
133,2021-01-02 15:00,1,,3.8,20,37,2.4,-12,1020.5,1029.4,1,1.47,2.5,,0,0,,,4605,,,1.7,.8,.8,1.8,2.5
133,2021-01-02 16:00,.2,,3.8,20,39,2.4,-12.1,1020.8,1029.8,1,.94,2.2,,0,0,,,4225,,,.1,.8,.8,1.8,2.5
133,2021-01-02 17:00,-.9,,3,20,43,2.5,-11.9,1021.6,1030.6,.7,.36,2.1,,0,0,,,4285,,,-.6,.7,.8,1.9,2.6
133,2021-01-02 18:00,-2.3,,1.4,50,47,2.4,-12.1,1022.3,1031.4,0,.02,2.1,,0,0,,,4285,,,-1.5,.6,.8,1.9,2.6
133,2021-01-02 19:00,-3.5,,.9,360,50,2.4,-12.4,1023,1032.1,,,2.1,,0,0,,,4285,,,-2.8,.5,.8,1.9,2.6
133,2021-01-02 20:00,-4.6,,1.2,360,56,2.4,-12,1023.5,1032.7,,,2.1,,0,0,,,4285,,,-3.8,.4,.8,1.9,2.6
133,2021-01-02 21:00,-4.6,,1.1,340,60,2.6,-11.2,1023.2,1032.4,,,2.1,,0,0,,,4285,,,-4.5,.3,.8,1.9,2.6
133,2021-01-02 22:00,-5,,.9,360,65,2.8,-10.5,1022.9,1032.1,,,2.1,,0,0,,,4152,,,-5,.3,.8,1.9,2.6
133,2021-01-02 23:00,-5.3,,.4,0,69,2.8,-10.1,1022.7,1031.9,,,2.1,,1,0,,,4068,,,-5.3,.2,.8,1.9,2.6
133,2021-01-03 00:00,-6,,1.1,360,74,2.9,-9.8,1023.6,1032.8,,,2.1,,0,0,,,3750,,,-5.6,.2,.8,1.8,2.6
133,2021-01-03 01:00,-6.2,,.7,290,77,3,-9.5,1024,1033.2,,,2.1,,3,0,,,3750,,,-5.9,.1,.8,1.8,2.6
133,2021-01-03 02:00,-6.7,,1.3,360,78,2.9,-9.9,1025,1034.2,,,2.1,,10,0,,,3563,,,-6,0,.8,1.8,2.6
133,2021-01-03 03:00,-7,,.5,360,73,2.6,-11,1025.7,1035,,,2.1,,4,0,Ci,,3750,,,-6.1,0,.8,1.8,2.6
133,2021-01-03 04:00,-7.1,,.5,20,77,2.8,-10.4,1025.8,1035.1,,,2.1,,7,0,Cs,,3417,,,-6.3,0,.7,1.8,2.5
133,2021-01-03 05:00,-7,,.4,0,77,2.8,-10.3,1026,1035.3,,,2.1,,8,0,Ci,,3299,,,-6.1,0,.7,1.8,2.5
133,2021-01-03 06:00,-7.7,,.4,0,75,2.6,-11.3,1026.8,1036.1,,,2.1,,4,0,Ci,,3436,,,-6.7,-.1,.7,1.8,2.5
133,2021-01-03 07:00,-8.2,,.9,20,81,2.7,-10.8,1027.1,1036.4,,,2.1,,3,0,Ci,,2906,,,-6.9,-.1,.7,1.8,2.5
