time,d2m,t2m
2013-03-19 01:00:00,279.5888,282.7138
2013-03-19 02:00:00,280.13214,284.37756
2013-03-19 03:00:00,280.75974,285.18753
2013-03-19 04:00:00,281.17297,285.53952
2013-03-19 05:00:00,281.53354,286.28067
2013-03-19 06:00:00,281.6934,286.29102
2013-03-19 07:00:00,281.82224,286.23135
2013-03-19 08:00:00,281.86746,285.86597
2013-03-19 09:00:00,282.04712,285.64914
2013-03-19 10:00:00,282.88538,284.99387
2013-03-19 11:00:00,282.98697,284.9092
2013-03-19 12:00:00,283.0805,284.9153
2013-03-19 13:00:00,283.07184,284.95306
2013-03-19 14:00:00,283.06998,285.02798
2013-03-19 15:00:00,282.6896,284.8252
2013-03-19 16:00:00,282.43744,284.64554
2013-03-19 17:00:00,282.31415,284.50424
2013-03-19 18:00:00,282.15988,284.0956
2013-03-19 19:00:00,282.17352,283.93118
2013-03-19 20:00:00,281.87552,283.3155
2013-03-19 21:00:00,281.7708,283.1882
2013-03-19 22:00:00,281.536,282.83316
2013-03-19 23:00:00,281.59302,283.17603
2013-03-20 00:00:00,281.1773,283.3916
2013-03-20 01:00:00,279.48102,281.7473
2013-03-20 02:00:00,276.89444,279.69745
2013-03-20 03:00:00,275.67767,279.04706
2013-03-20 04:00:00,275.19135,278.99103
2013-03-20 05:00:00,273.58737,278.9892
2013-03-20 06:00:00,272.95728,278.8266
2013-03-20 07:00:00,272.03976,278.49957
2013-03-20 08:00:00,270.10184,277.5398
2013-03-20 09:00:00,269.87076,276.77368
2013-03-20 10:00:00,269.15085,275.19577
2013-03-20 11:00:00,268.8665,274.6282
2013-03-20 12:00:00,268.73267,274.4674
2013-03-20 13:00:00,268.5369,274.52588
2013-03-20 14:00:00,268.25934,274.3377
2013-03-20 15:00:00,268.20856,274.29446
2013-03-20 16:00:00,268.084,274.32977
2013-03-20 17:00:00,267.97684,273.97412
2013-03-20 18:00:00,267.81885,273.76404
2013-03-20 19:00:00,267.6454,273.56427
2013-03-20 20:00:00,267.46448,273.29144
2013-03-20 21:00:00,267.21542,272.9833
2013-03-20 22:00:00,267.49918,273.9796
2013-03-20 23:00:00,267.12003,274.12637
2013-03-21 00:00:00,266.8592,274.38763
2013-03-21 01:00:00,266.73465,274.89798
2013-03-21 02:00:00,266.59155,276.63666
2013-03-21 03:00:00,266.82077,277.46246
2013-03-21 04:00:00,267.20303,277.9612
2013-03-21 05:00:00,268.0964,279.11282
2013-03-21 06:00:00,268.37457,279.38138
2013-03-21 07:00:00,268.66763,279.48187
2013-03-21 08:00:00,269.65826,279.111
2013-03-21 09:00:00,269.92343,278.88263
2013-03-21 10:00:00,270.6006,277.59705
2013-03-21 11:00:00,270.92892,277.25113
2013-03-21 12:00:00,270.93018,277.6482
2013-03-21 13:00:00,271.3149,277.80957
2013-03-21 14:00:00,271.86444,277.53247
2013-03-21 15:00:00,272.34952,277.32968
2013-03-21 16:00:00,272.6878,277.32602
2013-03-21 17:00:00,273.34946,277.499
2013-03-21 18:00:00,274.12512,277.8717
2013-03-21 19:00:00,274.99124,278.30896
2013-03-21 20:00:00,275.92673,279.02148
2013-03-21 21:00:00,276.11444,278.15427
2013-03-21 22:00:00,277.43777,279.3753
2013-03-21 23:00:00,277.95633,279.9904
2013-03-22 00:00:00,277.51645,280.51593
2013-03-22 01:00:00,277.0642,280.73337
2013-03-22 02:00:00,277.299,281.82712
2013-03-22 03:00:00,277.44583,282.08533
2013-03-22 04:00:00,277.25873,282.40747
2013-03-22 05:00:00,277.57285,282.57922
2013-03-22 06:00:00,277.53134,282.98663
2013-03-22 07:00:00,277.0679,282.6541
2013-03-22 08:00:00,276.7439,281.86487
2013-03-22 09:00:00,276.60947,281.47998
2013-03-22 10:00:00,276.63733,280.3229
2013-03-22 11:00:00,276.93967,279.8637
2013-03-22 12:00:00,277.15155,279.4636
2013-03-22 13:00:00,276.74142,279.17554
2013-03-22 14:00:00,275.68573,278.41675
2013-03-22 15:00:00,274.5303,277.988
2013-03-22 16:00:00,273.3445,277.73407
2013-03-22 17:00:00,272.4846,277.0514
2013-03-22 18:00:00,272.2095,276.87296
2013-03-22 19:00:00,271.84027,276.79803
2013-03-22 20:00:00,271.42395,276.48502
2013-03-22 21:00:00,271.08813,276.33826
2013-03-22 22:00:00,271.23746,277.04712
2013-03-22 23:00:00,270.88617,277.19327
2013-03-23 00:00:00,270.8267,277.5349
2013-03-23 01:00:00,270.15637,278.3132
2013-03-23 02:00:00,268.9842,280.72116
2013-03-23 03:00:00,268.5815,281.9702
2013-03-23 04:00:00,268.83923,282.54877
2013-03-23 05:00:00,269.83667,283.3569
2013-03-23 06:00:00,270.73254,283.34045
2013-03-23 07:00:00,271.4388,283.2424
2013-03-23 08:00:00,272.24048,282.35327
2013-03-23 09:00:00,272.32538,282.1103
2013-03-23 10:00:00,274.1635,281.1639
2013-03-23 11:00:00,275.45898,281.07925
2013-03-23 12:00:00,276.01224,281.30765
2013-03-23 13:00:00,276.65778,281.60666
2013-03-23 14:00:00,277.36343,281.01715
2013-03-23 15:00:00,277.81693,280.84662
2013-03-23 16:00:00,277.92163,280.17795
2013-03-23 17:00:00,277.09952,279.50076
2013-03-23 18:00:00,276.69434,279.07263
2013-03-23 19:00:00,276.5785,278.75168
2013-03-23 20:00:00,276.23215,278.16522
2013-03-23 21:00:00,275.82327,277.86072
2013-03-23 22:00:00,275.78424,279.30466
2013-03-23 23:00:00,274.36673,279.42462
2013-03-24 00:00:00,273.64682,279.81256
2013-03-24 01:00:00,273.50558,280.3381
2013-03-24 02:00:00,273.49008,281.65475
2013-03-24 03:00:00,273.93307,282.0159
2013-03-24 04:00:00,274.19016,282.00797
2013-03-24 05:00:00,274.33887,281.7175
2013-03-24 06:00:00,273.84818,281.35147
2013-03-24 07:00:00,273.15616,280.70898
2013-03-24 08:00:00,272.71133,279.51538
2013-03-24 09:00:00,272.66425,278.93378
2013-03-24 10:00:00,273.3606,277.59888
2013-03-24 11:00:00,273.41388,277.48254
2013-03-24 12:00:00,273.3123,277.43445
2013-03-24 13:00:00,273.17722,277.39667
2013-03-24 14:00:00,272.98828,277.00388
2013-03-24 15:00:00,272.86313,276.96857
2013-03-24 16:00:00,272.7132,276.985
2013-03-24 17:00:00,272.3396,276.67807
2013-03-24 18:00:00,271.9623,276.78647
2013-03-24 19:00:00,271.59308,276.88815
2013-03-24 20:00:00,271.23312,276.62692
2013-03-24 21:00:00,271.2449,276.59647
2013-03-24 22:00:00,270.70343,277.12567
2013-03-24 23:00:00,270.65942,277.4113
2013-03-25 00:00:00,270.28833,277.84125
2013-03-25 01:00:00,270.01636,277.99896
2013-03-25 02:00:00,269.14093,278.61954
2013-03-25 03:00:00,268.81134,278.67862
2013-03-25 04:00:00,268.7649,278.50262
2013-03-25 05:00:00,268.14163,278.48862
2013-03-25 06:00:00,267.88763,278.3735
2013-03-25 07:00:00,267.74512,278.1969
2013-03-25 08:00:00,268.15527,277.60007
2013-03-25 09:00:00,268.242,277.26147
2013-03-25 10:00:00,269.12793,276.34372
2013-03-25 11:00:00,269.0635,276.25238
2013-03-25 12:00:00,269.01083,276.36078
2013-03-25 13:00:00,268.9526,276.4375
2013-03-25 14:00:00,269.07776,276.0496
2013-03-25 15:00:00,269.12793,275.99902
2013-03-25 16:00:00,269.21777,276.06177
2013-03-25 17:00:00,269.58826,275.7049
2013-03-25 18:00:00,269.7809,275.60138
2013-03-25 19:00:00,269.97174,275.3462
2013-03-25 20:00:00,270.2022,274.9607
2013-03-25 21:00:00,270.2431,274.91077
2013-03-25 22:00:00,270.32056,276.04776
2013-03-25 23:00:00,270.04422,276.21948
2013-03-26 00:00:00,269.62482,276.8839
2013-03-26 01:00:00,268.84915,277.8845
2013-03-26 02:00:00,267.95578,280.08478
2013-03-26 03:00:00,267.77426,281.21933
2013-03-26 04:00:00,268.4204,281.77777
2013-03-26 05:00:00,270.4624,282.71808
2013-03-26 06:00:00,271.56766,282.71442
2013-03-26 07:00:00,272.13144,282.592
2013-03-26 08:00:00,272.71753,282.10297
2013-03-26 09:00:00,272.89163,281.87033
2013-03-26 10:00:00,272.8879,280.37222
2013-03-26 11:00:00,273.19952,280.44287
2013-03-26 12:00:00,273.74472,279.84363
2013-03-26 13:00:00,274.26202,279.41306
2013-03-26 14:00:00,274.8035,278.98676
2013-03-26 15:00:00,274.99124,278.86984
2013-03-26 16:00:00,275.12567,279.00687
2013-03-26 17:00:00,275.33197,278.89786
2013-03-26 18:00:00,275.49615,278.95935
2013-03-26 19:00:00,275.71545,278.97214
2013-03-26 20:00:00,276.06302,279.0221
2013-03-26 21:00:00,276.49237,279.11465
2013-03-26 22:00:00,277.47308,280.4879
2013-03-26 23:00:00,277.6577,280.8588
2013-03-27 00:00:00,277.4322,281.55185
2013-03-27 01:00:00,276.63797,282.1328
2013-03-27 02:00:00,276.21356,283.84348
2013-03-27 03:00:00,276.03143,284.40073
2013-03-27 04:00:00,276.08594,284.58524
2013-03-27 05:00:00,275.7737,284.93723
2013-03-27 06:00:00,275.83255,284.90982
2013-03-27 07:00:00,275.87842,284.77524
2013-03-27 08:00:00,275.6597,284.00183
2013-03-27 09:00:00,276.16833,283.6194
2013-03-27 10:00:00,276.9917,281.95926
2013-03-27 11:00:00,277.6255,281.522
2013-03-27 12:00:00,277.80704,281.43796
2013-03-27 13:00:00,277.9514,281.34723
2013-03-27 14:00:00,277.58585,280.12436
2013-03-27 15:00:00,277.4632,279.8174
2013-03-27 16:00:00,277.30273,279.56348
2013-03-27 17:00:00,276.9527,279.10672
2013-03-27 18:00:00,276.8963,279.05984
2013-03-27 19:00:00,276.56982,278.73343
2013-03-27 20:00:00,276.18137,278.4338
2013-03-27 21:00:00,275.998,278.53305
2013-03-27 22:00:00,276.21854,279.45142
2013-03-27 23:00:00,275.45898,280.60913
2013-03-28 00:00:00,273.40213,281.41846
2013-03-28 01:00:00,273.21503,282.268
2013-03-28 02:00:00,273.78003,284.60596
2013-03-28 03:00:00,273.56567,285.19363
2013-03-28 04:00:00,273.87482,285.5377
2013-03-28 05:00:00,275.0445,285.98654
2013-03-28 06:00:00,275.6058,285.7155
2013-03-28 07:00:00,275.827,285.26608
2013-03-28 08:00:00,276.64725,283.96347
2013-03-28 09:00:00,276.84427,283.4458
2013-03-28 10:00:00,276.7501,282.06277
2013-03-28 11:00:00,277.28043,281.44528
2013-03-28 12:00:00,277.66144,280.82104
2013-03-28 13:00:00,276.78293,280.59634
2013-03-28 14:00:00,274.43674,280.2224
2013-03-28 15:00:00,273.13263,280.07016
2013-03-28 16:00:00,273.00436,279.896
2013-03-28 17:00:00,272.44928,279.3144
2013-03-28 18:00:00,272.2504,279.09332
2013-03-28 19:00:00,272.11285,278.97885
2013-03-28 20:00:00,271.5751,278.34305
2013-03-28 21:00:00,271.27957,278.18655
2013-03-28 22:00:00,270.9723,278.76144
2013-03-28 23:00:00,270.4686,278.97458
2013-03-29 00:00:00,269.56842,279.56287
2013-03-29 01:00:00,268.46628,280.08905
2013-03-29 02:00:00,266.90875,281.5622
2013-03-29 03:00:00,267.0333,282.1584
2013-03-29 04:00:00,267.63422,282.29968
2013-03-29 05:00:00,268.61185,282.66873
2013-03-29 06:00:00,269.09695,282.59445
2013-03-29 07:00:00,269.35034,282.40686
2013-03-29 08:00:00,270.0554,281.54147
2013-03-29 09:00:00,270.34534,281.1633
2013-03-29 10:00:00,270.9376,279.3339
2013-03-29 11:00:00,271.16806,279.0373
2013-03-29 12:00:00,271.25293,278.91064
2013-03-29 13:00:00,271.1662,278.83087
2013-03-29 14:00:00,271.20895,278.2517
2013-03-29 15:00:00,271.10425,278.13354
2013-03-29 16:00:00,270.91095,277.9868
2013-03-29 17:00:00,270.72943,277.56476
2013-03-29 18:00:00,270.55905,277.4807
2013-03-29 19:00:00,270.5318,277.50204
2013-03-29 20:00:00,270.45,277.20667
2013-03-29 21:00:00,270.46365,277.0185
2013-03-29 22:00:00,270.54047,278.33453
2013-03-29 23:00:00,270.37445,279.14935
2013-03-30 00:00:00,270.64764,280.50803
2013-03-30 01:00:00,272.22437,281.80945
2013-03-30 02:00:00,275.05255,284.1565
2013-03-30 03:00:00,275.89822,284.86963
2013-03-30 04:00:00,276.65036,285.22043
2013-03-30 05:00:00,277.4421,285.34647
2013-03-30 06:00:00,277.8504,285.28802
2013-03-30 07:00:00,278.21283,285.1096
2013-03-30 08:00:00,278.51266,284.25455
2013-03-30 09:00:00,277.65213,283.6614
2013-03-30 10:00:00,272.8247,281.45987
2013-03-30 11:00:00,272.79312,281.18765
2013-03-30 12:00:00,272.98642,281.0622
2013-03-30 13:00:00,273.373,280.82043
2013-03-30 14:00:00,274.24594,280.28696
2013-03-30 15:00:00,274.63315,279.91852
2013-03-30 16:00:00,274.95963,279.72485
2013-03-30 17:00:00,275.51782,279.38504
2013-03-30 18:00:00,275.8691,279.3692
2013-03-30 19:00:00,276.03082,279.27176
2013-03-30 20:00:00,275.87097,278.89664
2013-03-30 21:00:00,275.98434,278.67374
2013-03-30 22:00:00,275.60147,278.23038
2013-03-30 23:00:00,275.30225,278.4204
2013-03-31 00:00:00,275.1932,279.11038
2013-03-31 01:00:00,274.8537,279.7553
2013-03-31 02:00:00,273.8036,281.59204
2013-03-31 03:00:00,273.50558,282.54083
2013-03-31 04:00:00,273.35626,283.19916
2013-03-31 05:00:00,273.08307,284.2381
2013-03-31 06:00:00,273.33398,284.43604
2013-03-31 07:00:00,273.544,284.43604
2013-03-31 08:00:00,273.95847,283.9677
2013-03-31 09:00:00,273.43,283.5792
2013-03-31 10:00:00,274.661,281.97144
2013-03-31 11:00:00,274.648,281.31494
2013-03-31 12:00:00,274.72855,281.19254
2013-03-31 13:00:00,275.19815,280.68402
2013-03-31 14:00:00,275.897,279.3832
2013-03-31 15:00:00,276.11816,279.27115
2013-03-31 16:00:00,276.43042,279.7218
2013-03-31 17:00:00,277.17694,280.2285
2013-03-31 18:00:00,277.88446,280.71082
2013-03-31 19:00:00,278.49594,280.94406
2013-03-31 20:00:00,278.8652,280.98608
2013-03-31 21:00:00,278.8367,280.9538
2013-03-31 22:00:00,279.4711,282.21808
2013-03-31 23:00:00,279.05167,282.6937
2013-04-01 00:00:00,278.82553,283.17725
2013-04-01 01:00:00,278.35532,283.63885
2013-04-01 02:00:00,277.40186,285.45184
2013-04-01 03:00:00,276.86533,286.08276
2013-04-01 04:00:00,276.86844,286.25082
2013-04-01 05:00:00,276.68195,286.71002
2013-04-01 06:00:00,277.05988,286.73926
2013-04-01 07:00:00,277.48178,286.65216
2013-04-01 08:00:00,278.08023,285.87082
2013-04-01 09:00:00,278.4216,285.5797
2013-04-01 10:00:00,279.3311,284.10535
2013-04-01 11:00:00,279.6768,283.57248
2013-04-01 12:00:00,279.9754,283.2826
2013-04-01 13:00:00,280.07266,283.00308
2013-04-01 14:00:00,280.11603,282.48846
2013-04-01 15:00:00,280.06525,282.4361
2013-04-01 16:00:00,280.18976,282.69614
2013-04-01 17:00:00,280.49768,282.77045
2013-04-01 18:00:00,280.8223,282.9519
2013-04-01 19:00:00,280.9555,282.70953
2013-04-01 20:00:00,281.20517,282.43365
2013-04-01 21:00:00,280.74487,282.0098
2013-04-01 22:00:00,279.75546,281.57864
2013-04-01 23:00:00,279.01697,281.35513
2013-04-02 00:00:00,278.12485,281.30765
2013-04-02 01:00:00,277.80887,281.30338
2013-04-02 02:00:00,277.25687,281.53052
2013-04-02 03:00:00,276.89197,281.23395
2013-04-02 04:00:00,276.40872,280.77658
2013-04-02 05:00:00,275.3363,279.83813
2013-04-02 06:00:00,275.3289,280.04214
2013-04-02 07:00:00,275.4528,280.01352
2013-04-02 08:00:00,275.38525,279.64813
2013-04-02 09:00:00,275.5829,279.61523
2013-04-02 10:00:00,275.16592,279.30527
2013-04-02 11:00:00,275.08972,279.3887
2013-04-02 12:00:00,275.11823,279.50378
2013-04-02 13:00:00,275.32205,279.43497
2013-04-02 14:00:00,275.5835,279.35886
2013-04-02 15:00:00,276.0593,279.4149
2013-04-02 16:00:00,276.1169,279.519
2013-04-02 17:00:00,276.3034,279.5781
2013-04-02 18:00:00,276.34058,279.79367
2013-04-02 19:00:00,276.50848,279.89478
2013-04-02 20:00:00,276.35794,279.6463
2013-04-02 21:00:00,276.43536,279.36313
2013-04-02 22:00:00,276.5029,279.53485
2013-04-02 23:00:00,276.22845,279.95264
2013-04-03 00:00:00,276.1033,280.69315
2013-04-03 01:00:00,275.6126,281.45926
2013-04-03 02:00:00,274.3091,283.5256
2013-04-03 03:00:00,273.61957,284.32886
2013-04-03 04:00:00,273.46283,284.53955
