지점,1시간평균 미세먼지농도(㎍/㎥)
156.0,80.0
156.0,89.0
156.0,79.0
156.0,80.0
156.0,89.0
156.0,99.0
156.0,102.0
156.0,108.0
156.0,100.0
156.0,94.0
156.0,80.0
156.0,77.0
156.0,91.0
156.0,105.0
156.0,123.0
156.0,170.0
156.0,192.0
156.0,205.0
156.0,214.0
156.0,196.0
156.0,178.0
156.0,165.0
156.0,145.0
156.0,127.0
156.0,134.0
156.0,125.0
156.0,118.0
156.0,98.0
156.0,99.0
156.0,89.0
156.0,91.0
156.0,104.0
156.0,105.0
156.0,102.0
156.0,81.0
156.0,42.0
156.0,43.0
156.0,25.0
156.0,15.0
156.0,23.0
156.0,22.0
156.0,33.0
156.0,40.0
156.0,42.0
156.0,31.0
156.0,24.0
156.0,36.0
156.0,33.0
156.0,33.0
156.0,35.0
156.0,16.0
156.0,30.0
156.0,35.0
156.0,27.0
156.0,48.0
156.0,38.0
156.0,32.0
156.0,34.0
156.0,28.0
156.0,26.0
156.0,28.0
156.0,22.0
156.0,26.0
156.0,22.0
156.0,26.0
156.0,28.0
156.0,39.0
156.0,40.0
156.0,37.0
156.0,38.0
156.0,31.0
156.0,36.0
156.0,47.0
156.0,40.0
156.0,42.0
156.0,46.0
156.0,38.0
156.0,39.0
156.0,42.0
156.0,47.0
156.0,54.0
156.0,62.0
156.0,53.0
156.0,34.0
156.0,23.0
156.0,24.0
156.0,20.0
156.0,19.0
156.0,24.0
156.0,31.0
156.0,26.0
156.0,30.0
156.0,34.0
156.0,28.0
156.0,37.0
156.0,36.0
156.0,49.0
156.0,48.0
156.0,45.0
156.0,39.0
156.0,44.0
156.0,42.0
156.0,41.0
156.0,42.0
156.0,42.0
156.0,40.0
156.0,35.0
156.0,45.0
156.0,36.0
156.0,38.0
156.0,35.0
156.0,21.0
156.0,25.0
156.0,32.0
156.0,45.0
156.0,37.0
156.0,38.0
156.0,42.0
156.0,45.0
156.0,44.0
156.0,47.0
156.0,61.0
156.0,52.0
156.0,56.0
156.0,52.0
156.0,50.0
156.0,50.0
156.0,50.0
156.0,42.0
156.0,29.0
156.0,21.0
156.0,24.0
