iter	RMSE
0	3174334.979
1	2948934.525
2	2774768.723
3	2616804.311
4	2459623.691
5	2317993.44
6	2179318.137
7	2070040.511
8	1957491.484
9	1828189.409
10	1728887.293
11	1619958.25
12	1517381.447
13	1442196.569
14	1358798.968
15	1276120.101
16	1207852.262
17	1157863.75
18	1086004.012
19	1025753.795
20	983114.5804
21	936463.1877
22	896281.3919
23	853087.6517
24	814307.7459
25	781443.5261
26	742834.0978
27	722406.2686
28	694274.3311
29	660994.3255
30	637192.5351
31	622040.5314
32	598809.3858
33	593352.9491
34	573295.8031
35	559038.6693
36	540658.226
37	524747.5104
38	509140.3035
39	500393.5092
40	482201.6401
41	468648.2011
42	452002.3611
43	448602.5845
44	435570.4975
45	424069.7846
46	420089.6396
47	413719.6093
48	407320.5488
49	404387.1945
50	397288.4584
51	392240.4941
52	385245.0688
53	380266.2056
54	373542.3806
55	367996.2985
56	363629.0709
57	359311.6801
58	352654.7354
59	348417.6007
60	347224.1456
61	345407.4015
62	342878.8929
63	338261.661
64	336076.909
65	335167.6629
66	330044.1084
67	329203.2481
68	327770.1151
69	324196.5705
70	322881.4445
71	320838.4482
72	316635.6788
73	311005.6457
74	307573.1201
75	305933.8465
76	304662.4254
77	297012.7266
78	295314.928
79	294303.5338
80	294222.6214
81	293773.2809
82	290594.5294
83	283383.1365
84	282458.1801
85	281860.3541
86	280978.9488
87	279880.6434
88	279376.3316
89	276913.4195
90	276843.1351
91	276459.7114
92	274339.3231
93	273151.8343
94	269199.829
95	269025.2135
96	265778.3874
97	264610.5983
98	263407.8531
99	260980.3134
100	259961.1668
101	257983.1305
102	257427.4194
103	256307.6744
104	255211.8843
105	252340.8065
106	251607.9948
107	249986.3628
108	246502.1137
109	245687.8018
110	244892.2089
111	244021.5284
112	242743.599
113	242199.7133
114	240060.1529
115	239256.4477
116	238943.5727
117	238274.3044
118	236494.9244
119	236235.2353
120	235665.145
121	235619.7101
122	234258.816
123	234177.5951
124	232114.0234
125	231279.1965
126	231260.7067
127	229071.2202
128	228092.902
129	225121.7736
130	225001.7455
131	221446.7451
132	221001.4323
133	220158.3045
134	219006.7228
135	218572.7584
136	218321.0921
137	216389.4004
138	215564.5056
139	215298.3838
140	214911.1519
141	214107.0016
