iter	Passed	Remaining
0	21	156097
1	44	159653
2	66	157425
3	87	157266
4	109	156659
5	130	156052
6	151	155034
7	174	156048
8	196	155893
9	213	152561
10	219	142646
11	234	139935
12	252	138683
13	268	137025
14	285	135757
15	301	134662
16	318	133848
17	335	133097
18	352	132389
19	368	131405
20	384	130830
21	402	130440
22	408	126797
23	425	126508
24	442	126227
25	460	126252
26	479	126633
27	498	126961
28	520	127932
29	542	128958
30	562	129418
31	581	129518
32	592	128027
33	612	128263
34	631	128605
35	651	128958
36	669	128895
37	686	128680
38	703	128355
39	720	128129
40	735	127678
41	753	127662
42	770	127492
43	786	127239
44	803	127085
45	820	126875
46	837	126746
47	854	126588
48	871	126471
49	888	126358
50	907	126499
51	924	126307
52	942	126395
53	962	126580
54	982	126824
55	992	125849
56	1012	126165
57	1030	126086
58	1042	125391
59	1046	123837
60	1064	123874
61	1075	123063
62	1095	123329
63	1111	123226
64	1130	123346
65	1147	123317
66	1164	123249
67	1181	123196
68	1191	122372
69	1208	122355
70	1226	122406
71	1243	122385
72	1258	122172
73	1277	122319
74	1297	122503
75	1316	122698
76	1334	122758
77	1353	122860
78	1372	123019
79	1395	123434
80	1415	123716
81	1436	123936
82	1456	124182
83	1477	124463
84	1497	124644
85	1516	124729
86	1529	124312
87	1542	123902
88	1560	123962
89	1581	124162
90	1600	124257
91	1617	124254
92	1635	124276
93	1652	124172
94	1669	124128
95	1678	123487
96	1693	123296
97	1711	123313
98	1729	123310
99	1747	123314
100	1764	123280
101	1782	123292
102	1799	123267
103	1816	123233
104	1833	123172
105	1851	123176
106	1868	123147
107	1886	123138
108	1903	123082
109	1920	123023
110	1937	122982
111	1953	122911
112	1972	122946
113	1990	122963
114	2005	122847
115	2023	122853
116	2041	122863
117	2049	122282
118	2069	122401
119	2087	122460
120	2096	121950
121	2104	121374
122	2121	121327
123	2139	121342
124	2151	121051
125	2168	121001
126	2186	121027
127	2202	120971
128	2219	120912
129	2237	120958
130	2254	120936
131	2272	120941
132	2280	120457
133	2298	120473
134	2316	120530
135	2334	120518
136	2347	120306
137	2363	120231
138	2380	120210
139	2391	119870
140	2408	119860
141	2424	119797
142	2441	119774
143	2457	119723
144	2475	119732
145	2493	119745
146	2510	119733
147	2528	119759
148	2544	119713
149	2562	119706
150	2578	119655
151	2598	119752
152	2616	119778
153	2633	119795
154	2654	119912
155	2673	120018
156	2691	120039
157	2711	120140
158	2730	120195
159	2747	120173
160	2764	120141
161	2780	120075
162	2797	120059
163	2815	120083
164	2833	120084
165	2850	120076
166	2867	120026
167	2884	119996
168	2900	119959
169	2919	120002
170	2937	120034
171	2955	120033
172	2972	120002
173	2990	120046
174	3007	120012
175	3028	120133
176	3046	120172
177	3066	120244
178	3086	120325
179	3105	120402
180	3126	120501
181	3144	120531
182	3162	120538
183	3180	120547
184	3198	120543
185	3216	120562
186	3233	120546
187	3250	120527
188	3268	120501
189	3287	120557
190	3305	120582
191	3323	120593
192	3340	120565
193	3358	120559
194	3374	120492
195	3391	120468
196	3408	120450
197	3425	120404
198	3442	120383
199	3459	120367
200	3477	120359
201	3493	120314
202	3511	120323
203	3531	120375
204	3548	120356
205	3566	120369
206	3585	120388
207	3605	120477
208	3625	120547
209	3645	120606
210	3666	120709
211	3686	120797
212	3708	120908
213	3730	121042
214	3750	121111
215	3764	120990
216	3782	120986
217	3799	120961
218	3817	120949
219	3834	120923
220	3852	120916
221	3868	120859
222	3886	120851
223	3903	120838
224	3922	120855
225	3939	120838
226	3957	120831
227	3974	120803
228	3991	120777
229	4008	120752
230	4026	120746
231	4044	120727
232	4061	120706
233	4078	120678
234	4097	120704
235	4114	120692
236	4133	120707
237	4151	120721
238	4172	120790
239	4191	120816
240	4210	120851
241	4229	120874
242	4246	120852
243	4265	120853
244	4282	120828
245	4299	120800
246	4316	120773
247	4333	120748
248	4351	120754
249	4370	120772
250	4388	120752
251	4407	120779
252	4423	120738
253	4443	120776
254	4462	120804
255	4480	120786
256	4498	120801
257	4516	120801
258	4535	120818
259	4554	120846
260	4573	120855
261	4591	120859
262	4610	120880
263	4628	120860
264	4645	120836
265	4661	120785
266	4678	120748
267	4696	120730
268	4712	120677
269	4729	120649
270	4745	120607
271	4762	120580
272	4780	120564
273	4797	120526
274	4814	120512
275	4832	120487
276	4849	120463
277	4865	120424
278	4883	120411
279	4900	120367
280	4918	120361
281	4934	120327
282	4946	120173
283	4963	120144
284	4980	120115
285	4998	120096
286	5016	120091
287	5034	120086
288	5051	120069
289	5069	120058
290	5086	120028
291	5104	120027
292	5122	120009
293	5138	119968
294	5154	119927
295	5171	119884
296	5188	119855
297	5205	119825
298	5222	119811
299	5241	119813
300	5259	119806
301	5277	119803
302	5294	119790
303	5310	119738
304	5327	119696
305	5344	119668
306	5361	119651
307	5377	119602
308	5393	119554
309	5410	119512
310	5426	119470
311	5443	119446
312	5461	119448
313	5477	119386
314	5494	119358
315	5511	119324
316	5528	119303
317	5545	119290
318	5564	119291
319	5582	119290
320	5602	119326
321	5622	119367
322	5630	119145
323	5648	119142
324	5666	119132
325	5684	119130
326	5703	119141
327	5720	119115
328	5737	119088
329	5754	119068
330	5771	119046
331	5788	119021
332	5808	119040
333	5824	119008
334	5842	118990
335	5859	118959
336	5877	118968
337	5895	118966
338	5914	118964
339	5931	118947
340	5949	118947
341	5968	118947
342	5988	118977
343	6008	119010
