year,month,day,hour,power,time
2013,3,19,1,0.0,2013-03-19 01:00:00
2013,3,19,2,0.0,2013-03-19 02:00:00
2013,3,19,3,0.0,2013-03-19 03:00:00
2013,3,19,4,0.0,2013-03-19 04:00:00
2013,3,19,5,0.0,2013-03-19 05:00:00
2013,3,19,6,0.0,2013-03-19 06:00:00
2013,3,19,7,9600.0,2013-03-19 07:00:00
2013,3,19,8,816000.0,2013-03-19 08:00:00
2013,3,19,9,2899200.0,2013-03-19 09:00:00
2013,3,19,10,5472000.0,2013-03-19 10:00:00
2013,3,19,11,7401600.0,2013-03-19 11:00:00
2013,3,19,12,8716800.0,2013-03-19 12:00:00
2013,3,19,13,7612800.0,2013-03-19 13:00:00
2013,3,19,14,6172800.0,2013-03-19 14:00:00
2013,3,19,15,4848000.0,2013-03-19 15:00:00
2013,3,19,16,3312000.0,2013-03-19 16:00:00
2013,3,19,17,1804800.0,2013-03-19 17:00:00
2013,3,19,18,672000.0,2013-03-19 18:00:00
2013,3,19,19,57600.0,2013-03-19 19:00:00
2013,3,19,20,0.0,2013-03-19 20:00:00
2013,3,19,21,0.0,2013-03-19 21:00:00
2013,3,19,22,0.0,2013-03-19 22:00:00
2013,3,19,23,0.0,2013-03-19 23:00:00
2013,3,20,0,0.0,2013-03-20 00:00:00
2013,3,20,1,0.0,2013-03-20 01:00:00
2013,3,20,2,0.0,2013-03-20 02:00:00
2013,3,20,3,0.0,2013-03-20 03:00:00
2013,3,20,4,0.0,2013-03-20 04:00:00
2013,3,20,5,0.0,2013-03-20 05:00:00
2013,3,20,6,0.0,2013-03-20 06:00:00
2013,3,20,7,9600.0,2013-03-20 07:00:00
2013,3,20,8,451200.0,2013-03-20 08:00:00
2013,3,20,9,864000.0,2013-03-20 09:00:00
2013,3,20,10,729600.0,2013-03-20 10:00:00
2013,3,20,11,883200.0,2013-03-20 11:00:00
2013,3,20,12,1795200.0,2013-03-20 12:00:00
2013,3,20,13,3100800.0,2013-03-20 13:00:00
2013,3,20,14,4742400.0,2013-03-20 14:00:00
2013,3,20,15,4684800.0,2013-03-20 15:00:00
2013,3,20,16,4492800.0,2013-03-20 16:00:00
2013,3,20,17,5356800.0,2013-03-20 17:00:00
2013,3,20,18,2726400.0,2013-03-20 18:00:00
2013,3,20,19,201600.0,2013-03-20 19:00:00
2013,3,20,20,0.0,2013-03-20 20:00:00
2013,3,20,21,0.0,2013-03-20 21:00:00
2013,3,20,22,0.0,2013-03-20 22:00:00
2013,3,20,23,0.0,2013-03-20 23:00:00
2013,3,21,0,0.0,2013-03-21 00:00:00
2013,3,21,1,0.0,2013-03-21 01:00:00
2013,3,21,2,0.0,2013-03-21 02:00:00
2013,3,21,3,0.0,2013-03-21 03:00:00
2013,3,21,4,0.0,2013-03-21 04:00:00
2013,3,21,5,0.0,2013-03-21 05:00:00
2013,3,21,6,0.0,2013-03-21 06:00:00
2013,3,21,7,28800.0,2013-03-21 07:00:00
2013,3,21,8,1468800.0,2013-03-21 08:00:00
2013,3,21,9,4876800.0,2013-03-21 09:00:00
2013,3,21,10,8073600.0,2013-03-21 10:00:00
2013,3,21,11,10329600.0,2013-03-21 11:00:00
2013,3,21,12,11644800.0,2013-03-21 12:00:00
2013,3,21,13,12134400.0,2013-03-21 13:00:00
2013,3,21,14,11875200.0,2013-03-21 14:00:00
2013,3,21,15,10761600.0,2013-03-21 15:00:00
2013,3,21,16,8832000.0,2013-03-21 16:00:00
2013,3,21,17,6028800.0,2013-03-21 17:00:00
2013,3,21,18,2630400.0,2013-03-21 18:00:00
2013,3,21,19,278400.0,2013-03-21 19:00:00
2013,3,21,20,0.0,2013-03-21 20:00:00
