Date,Month,Hour,Temperature(C),Precipitation(mm),DewPointTemperature(C),Sunshine(hr),SolarRadiation(MJ/m2),Snowfall(cm),SnowfallLast3Hours(cm),TotalCloudCoverage(1/10),MidLowCloudCoverage(1/10),LowCloud(100m),power,Wind_Speed
2013-03-19 07:00:00,3,7,6.4,,6.2,0.0,0.01,,,7.0,7.0,10.0,9600.0,1.4
2013-03-19 08:00:00,3,8,7.2,,6.5,0.0,0.24,,,7.0,7.0,10.0,816000.0,2.6
2013-03-19 09:00:00,3,9,9.1,,7.5,0.3,0.73,,,3.0,3.0,10.0,2899200.0,3.1
2013-03-19 10:00:00,3,10,11.1,,7.5,1.0,1.34,,,0.0,0.0,,5472000.0,3.2
2013-03-19 11:00:00,3,11,12.9,,8.3,1.0,1.82,,,0.0,0.0,,7401600.0,4.2
2013-03-19 12:00:00,3,12,14.2,,8.3,1.0,2.13,,,3.0,3.0,10.0,8716800.0,4.8
2013-03-19 13:00:00,3,13,13.1,,9.3,0.7,1.95,,,4.0,3.0,10.0,7612800.0,2.9
2013-03-19 14:00:00,3,14,14.7,,9.4,0.1,1.48,,,7.0,4.0,10.0,6172800.0,1.6
2013-03-19 15:00:00,3,15,15.5,,9.3,0.0,1.19,,,8.0,2.0,10.0,4848000.0,0.4
2013-03-19 16:00:00,3,16,16.0,,11.1,0.0,0.83,,,10.0,3.0,10.0,3312000.0,3.0
2013-03-19 17:00:00,3,17,15.6,,11.5,0.0,0.49,,,10.0,10.0,30.0,1804800.0,2.8
2013-03-19 18:00:00,3,18,14.7,,12.0,0.0,0.21,,,10.0,10.0,30.0,672000.0,2.3
2013-03-19 19:00:00,3,19,14.0,,11.8,0.0,0.02,,,,,,57600.0,2.3
2013-03-20 07:00:00,3,7,10.0,,9.8,0.0,0.01,,,9.0,9.0,10.0,9600.0,0.2
2013-03-20 08:00:00,3,8,10.2,,10.0,0.0,0.09,,,9.0,9.0,10.0,451200.0,2.3
2013-03-20 09:00:00,3,9,10.0,,8.9,0.0,0.17,,,10.0,6.0,10.0,864000.0,6.0
2013-03-20 10:00:00,3,10,6.0,,5.8,0.0,0.12,,,10.0,6.0,8.0,729600.0,8.6
2013-03-20 11:00:00,3,11,5.3,,4.5,0.0,0.15,,,10.0,6.0,10.0,883200.0,7.9
2013-03-20 12:00:00,3,12,4.6,0.0,3.4,0.0,0.27,,,10.0,6.0,10.0,1795200.0,11.5
2013-03-20 13:00:00,3,13,5.3,,3.1,0.1,0.67,,,10.0,6.0,10.0,3100800.0,10.5
2013-03-20 14:00:00,3,14,5.1,,2.4,0.3,1.12,,,9.0,9.0,10.0,4742400.0,10.8
2013-03-20 15:00:00,3,15,4.2,,1.7,0.4,1.25,,,8.0,8.0,10.0,4684800.0,12.8
2013-03-20 16:00:00,3,16,4.6,,-0.4,0.5,1.35,,,3.0,3.0,10.0,4492800.0,11.6
2013-03-20 17:00:00,3,17,3.9,,-0.6,1.0,1.4,,,0.0,0.0,,5356800.0,11.1
2013-03-20 18:00:00,3,18,2.1,,-3.0,1.0,0.66,,,1.0,1.0,10.0,2726400.0,13.9
2013-03-20 19:00:00,3,19,0.7,,-4.5,0.2,0.07,,,,,,201600.0,13.9
2013-03-21 07:00:00,3,7,-2.3,,-6.6,0.0,0.01,,,0.0,0.0,,28800.0,2.1
2013-03-21 08:00:00,3,8,-0.6,,-7.4,0.9,0.4,,,0.0,0.0,,1468800.0,1.9
2013-03-21 09:00:00,3,9,0.8,,-6.3,1.0,1.11,,,0.0,0.0,,4876800.0,3.9
2013-03-21 10:00:00,3,10,1.7,,-5.4,1.0,1.81,,,0.0,0.0,,8073600.0,3.9
2013-03-21 11:00:00,3,11,2.7,,-5.6,1.0,2.37,,,0.0,0.0,,10329600.0,4.6
2013-03-21 12:00:00,3,12,4.1,,-5.4,1.0,2.73,,,0.0,0.0,,11644800.0,4.0
2013-03-21 13:00:00,3,13,6.1,,-4.6,1.0,2.89,,,0.0,0.0,,12134400.0,3.9
2013-03-21 14:00:00,3,14,6.3,,-4.2,1.0,2.81,,,0.0,0.0,,11875200.0,3.1
2013-03-21 15:00:00,3,15,6.1,,-1.3,1.0,2.49,,,0.0,0.0,,10761600.0,3.0
2013-03-21 16:00:00,3,16,6.3,,-0.6,1.0,2.0,,,0.0,0.0,,8832000.0,4.6
2013-03-21 17:00:00,3,17,5.5,,-0.9,1.0,1.38,,,0.0,0.0,,6028800.0,4.1
2013-03-21 18:00:00,3,18,4.7,,-0.7,1.0,0.66,,,0.0,0.0,,2630400.0,3.8
2013-03-21 19:00:00,3,19,3.7,,-0.7,0.4,0.1,,,,,,278400.0,3.2
2013-03-22 07:00:00,3,7,1.3,,-1.2,0.0,0.02,,,4.0,0.0,,48000.0,0.3
2013-03-22 08:00:00,3,8,2.9,,0.1,0.3,0.36,,,8.0,1.0,10.0,1382400.0,0.8
2013-03-22 09:00:00,3,9,5.0,,0.9,0.3,0.74,,,8.0,1.0,10.0,3004800.0,1.7
2013-03-22 10:00:00,3,10,6.4,,0.9,0.0,0.75,,,10.0,10.0,30.0,2889600.0,0.2
2013-03-22 11:00:00,3,11,7.8,,3.0,0.0,0.8,,,10.0,5.0,10.0,3081600.0,1.3
2013-03-22 12:00:00,3,12,8.2,,4.2,0.0,1.01,,,10.0,5.0,10.0,3417600.0,3.0
2013-03-22 13:00:00,3,13,8.5,,4.6,0.0,0.78,,,10.0,5.0,10.0,3273600.0,1.5
2013-03-22 14:00:00,3,14,9.4,,4.9,0.4,1.41,,,8.0,7.0,10.0,4848000.0,4.4
2013-03-22 15:00:00,3,15,9.3,,4.5,0.6,1.52,,,9.0,9.0,10.0,6892800.0,5.9
2013-03-22 16:00:00,3,16,8.7,,4.3,0.3,0.88,,,8.0,8.0,10.0,2582400.0,7.0
2013-03-22 17:00:00,3,17,8.4,,4.2,0.8,0.85,,,6.0,2.0,10.0,3734400.0,7.7
2013-03-22 18:00:00,3,18,7.4,,4.6,0.1,0.41,,,0.0,0.0,,1747200.0,5.8
2013-03-22 19:00:00,3,19,6.3,,4.9,0.0,0.07,,,,,,201600.0,6.4
2013-03-23 08:00:00,3,8,2.3,,0.3,0.0,0.2,,,4.0,0.0,,758400.0,2.0
2013-03-23 09:00:00,3,9,4.1,,0.2,0.7,0.83,,,5.0,0.0,,3513600.0,2.9
2013-03-23 10:00:00,3,10,5.2,,0.7,0.8,1.42,,,0.0,0.0,,5337600.0,3.0
2013-03-23 11:00:00,3,11,7.1,,0.5,1.0,2.32,,,0.0,0.0,,9696000.0,2.2
2013-03-23 12:00:00,3,12,8.3,,0.9,1.0,2.7,,,0.0,0.0,,10848000.0,1.8
2013-03-23 13:00:00,3,13,8.8,,0.7,1.0,2.87,,,0.0,0.0,,11395200.0,2.8
2013-03-23 14:00:00,3,14,10.4,,0.1,1.0,2.75,,,0.0,0.0,,10905600.0,2.3
2013-03-23 15:00:00,3,15,10.3,,-3.4,1.0,2.4,,,2.0,0.0,,9744000.0,2.8
2013-03-23 16:00:00,3,16,11.3,,-3.2,1.0,1.95,,,2.0,0.0,,8400000.0,2.9
2013-03-23 17:00:00,3,17,10.8,,2.6,1.0,1.41,,,3.0,0.0,,5414400.0,2.0
2013-03-23 18:00:00,3,18,9.6,,2.6,0.8,0.55,,,4.0,0.0,,2054400.0,1.3
2013-03-23 19:00:00,3,19,8.2,,3.8,0.0,0.08,,,,,,230400.0,1.6
2013-03-24 07:00:00,3,7,3.2,,3.0,0.0,0.02,,,7.0,0.0,,48000.0,2.9
2013-03-24 08:00:00,3,8,4.3,,3.1,0.0,0.3,,,3.0,0.0,,1180800.0,5.3
2013-03-24 09:00:00,3,9,5.7,,2.8,1.0,0.85,,,3.0,0.0,,3360000.0,6.1
2013-03-24 10:00:00,3,10,7.2,,3.0,1.0,1.36,,,6.0,0.0,,5424000.0,5.9
2013-03-24 11:00:00,3,11,8.1,,3.3,1.0,1.74,,,6.0,0.0,,7372800.0,6.0
2013-03-24 12:00:00,3,12,7.4,,2.2,0.2,1.61,,,7.0,0.0,,6787200.0,9.4
2013-03-24 13:00:00,3,13,7.2,,2.4,0.0,1.53,,,7.0,0.0,,6700800.0,8.9
2013-03-24 14:00:00,3,14,7.3,,2.7,0.0,1.38,,,7.0,0.0,,6201600.0,7.7
2013-03-24 15:00:00,3,15,6.9,,3.1,0.0,1.39,,,8.0,2.0,10.0,5491200.0,8.6
2013-03-24 16:00:00,3,16,6.6,,1.7,0.2,1.28,,,8.0,2.0,10.0,4800000.0,9.5
2013-03-24 17:00:00,3,17,5.7,,0.8,0.9,1.13,,,7.0,0.0,,4972800.0,7.7
2013-03-24 18:00:00,3,18,4.4,,0.1,0.0,0.34,,,8.0,0.0,,1248000.0,8.6
2013-03-24 19:00:00,3,19,3.6,,0.0,0.0,0.05,,,,,,115200.0,8.1
