발전기명,년월일,설비용량(MW),01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
세종시폐기물매립장태양광,2017-01-01,1.628,0,0,0,0,0,0,0,840,23880,251640,308640,480000,921000,886920,742080,334440,87240,2880,4320,0,0,0,0,0
세종시폐기물매립장태양광,2017-01-02,1.628,0,0,0,0,0,0,0,1440,4440,221520,469560,800880,761160,955440,606360,501120,158280,2760,3360,0,0,0,0,0
세종시폐기물매립장태양광,2017-01-03,1.628,0,0,0,0,0,0,0,840,66720,438720,818640,1017240,1067160,1038600,881040,557040,128640,2280,3000,0,0,0,0,0
세종시폐기물매립장태양광,2017-01-04,1.628,0,0,0,0,0,0,0,1200,40080,321720,463200,806280,914760,835920,677280,502320,112080,1800,2760,0,0,0,0,0
세종시폐기물매립장태양광,2017-01-05,1.628,0,0,0,0,0,0,0,1200,61800,222120,291000,364800,319440,430440,259560,138840,45000,2520,2880,0,0,0,0,0
세종시폐기물매립장태양광,2017-01-06,1.628,0,0,0,0,0,0,0,1440,81000,297120,758280,1037040,1102440,1057440,929280,605880,120840,2640,3720,0,0,0,0,0
세종시폐기물매립장태양광,2017-01-07,1.628,0,0,0,0,0,0,0,720,49680,340440,595800,635400,981120,672120,488160,172080,75840,2520,4680,0,0,0,0,0
세종시폐기물매립장태양광,2017-01-08,1.628,0,0,0,0,0,0,0,960,36480,329880,922080,885600,809040,628800,503040,231240,63360,1920,4200,0,0,0,0,0
세종시폐기물매립장태양광,2017-01-09,1.628,0,0,0,0,0,0,0,1200,2040,69480,308640,496320,879000,1037040,931080,698640,166080,2880,3960,0,0,0,0,0
세종시폐기물매립장태양광,2017-01-10,1.628,0,0,0,0,0,0,0,840,38880,481440,902520,1080120,963840,467160,622320,326520,134040,3600,3000,0,0,0,0,0
세종시폐기물매립장태양광,2017-01-11,1.628,0,0,0,0,0,0,0,840,29160,505560,925560,1137000,989880,583920,536640,136440,82200,6960,3120,0,0,0,0,0
세종시폐기물매립장태양광,2017-01-12,1.628,0,0,0,0,0,0,0,1320,55200,400920,334320,85800,359280,189360,165240,121200,71160,2640,3360,0,0,0,0,0
세종시폐기물매립장태양광,2017-01-13,1.628,0,0,0,0,0,0,0,1800,54840,505440,773880,405000,307440,429960,816240,724080,162600,2880,3720,0,0,0,0,0
