year,power,date
2013,0.0,2013-03-19 01:00
2013,0.0,2013-03-19 02:00
2013,0.0,2013-03-19 03:00
2013,0.0,2013-03-19 04:00
2013,0.0,2013-03-19 05:00
2013,0.0,2013-03-19 06:00
2013,9600.0,2013-03-19 07:00
2013,816000.0,2013-03-19 08:00
2013,2899200.0,2013-03-19 09:00
2013,5472000.0,2013-03-19 10:00
2013,7401600.0,2013-03-19 11:00
2013,8716800.0,2013-03-19 12:00
2013,7612800.0,2013-03-19 13:00
2013,6172800.0,2013-03-19 14:00
2013,4848000.0,2013-03-19 15:00
2013,3312000.0,2013-03-19 16:00
2013,1804800.0,2013-03-19 17:00
2013,672000.0,2013-03-19 18:00
2013,57600.0,2013-03-19 19:00
2013,0.0,2013-03-19 20:00
2013,0.0,2013-03-19 21:00
2013,0.0,2013-03-19 22:00
2013,0.0,2013-03-19 23:00
2013,0.0,2013-03-20 00:00
2013,0.0,2013-03-20 01:00
2013,0.0,2013-03-20 02:00
2013,0.0,2013-03-20 03:00
2013,0.0,2013-03-20 04:00
2013,0.0,2013-03-20 05:00
2013,0.0,2013-03-20 06:00
2013,9600.0,2013-03-20 07:00
2013,451200.0,2013-03-20 08:00
2013,864000.0,2013-03-20 09:00
2013,729600.0,2013-03-20 10:00
2013,883200.0,2013-03-20 11:00
2013,1795200.0,2013-03-20 12:00
2013,3100800.0,2013-03-20 13:00
2013,4742400.0,2013-03-20 14:00
2013,4684800.0,2013-03-20 15:00
2013,4492800.0,2013-03-20 16:00
2013,5356800.0,2013-03-20 17:00
2013,2726400.0,2013-03-20 18:00
2013,201600.0,2013-03-20 19:00
2013,0.0,2013-03-20 20:00
2013,0.0,2013-03-20 21:00
2013,0.0,2013-03-20 22:00
2013,0.0,2013-03-20 23:00
2013,0.0,2013-03-21 00:00
2013,0.0,2013-03-21 01:00
2013,0.0,2013-03-21 02:00
2013,0.0,2013-03-21 03:00
2013,0.0,2013-03-21 04:00
2013,0.0,2013-03-21 05:00
2013,0.0,2013-03-21 06:00
2013,28800.0,2013-03-21 07:00
2013,1468800.0,2013-03-21 08:00
2013,4876800.0,2013-03-21 09:00
2013,8073600.0,2013-03-21 10:00
2013,10329600.0,2013-03-21 11:00
2013,11644800.0,2013-03-21 12:00
2013,12134400.0,2013-03-21 13:00
2013,11875200.0,2013-03-21 14:00
2013,10761600.0,2013-03-21 15:00
2013,8832000.0,2013-03-21 16:00
2013,6028800.0,2013-03-21 17:00
2013,2630400.0,2013-03-21 18:00
2013,278400.0,2013-03-21 19:00
2013,0.0,2013-03-21 20:00
2013,0.0,2013-03-21 21:00
2013,0.0,2013-03-21 22:00
2013,0.0,2013-03-21 23:00
2013,0.0,2013-03-22 00:00
2013,0.0,2013-03-22 01:00
2013,0.0,2013-03-22 02:00
2013,0.0,2013-03-22 03:00
2013,0.0,2013-03-22 04:00
2013,0.0,2013-03-22 05:00
2013,0.0,2013-03-22 06:00
2013,48000.0,2013-03-22 07:00
2013,1382400.0,2013-03-22 08:00
2013,3004800.0,2013-03-22 09:00
2013,2889600.0,2013-03-22 10:00
2013,3081600.0,2013-03-22 11:00
2013,3417600.0,2013-03-22 12:00
2013,3273600.0,2013-03-22 13:00
2013,4848000.0,2013-03-22 14:00
2013,6892800.0,2013-03-22 15:00
2013,2582400.0,2013-03-22 16:00
2013,3734400.0,2013-03-22 17:00
2013,1747200.0,2013-03-22 18:00
2013,201600.0,2013-03-22 19:00
2013,0.0,2013-03-22 20:00
2013,0.0,2013-03-22 21:00
2013,0.0,2013-03-22 22:00
2013,0.0,2013-03-22 23:00
2013,0.0,2013-03-23 00:00
2013,0.0,2013-03-23 01:00
2013,0.0,2013-03-23 02:00
2013,0.0,2013-03-23 03:00
2013,0.0,2013-03-23 04:00
2013,0.0,2013-03-23 05:00
2013,0.0,2013-03-23 06:00
2013,0.0,2013-03-23 07:00
2013,758400.0,2013-03-23 08:00
2013,3513600.0,2013-03-23 09:00
2013,5337600.0,2013-03-23 10:00
2013,9696000.0,2013-03-23 11:00
2013,10848000.0,2013-03-23 12:00
2013,11395200.0,2013-03-23 13:00
2013,10905600.0,2013-03-23 14:00
2013,9744000.0,2013-03-23 15:00
2013,8400000.0,2013-03-23 16:00
2013,5414400.0,2013-03-23 17:00
2013,2054400.0,2013-03-23 18:00
2013,230400.0,2013-03-23 19:00
2013,0.0,2013-03-23 20:00
2013,0.0,2013-03-23 21:00
2013,0.0,2013-03-23 22:00
2013,0.0,2013-03-23 23:00
2013,0.0,2013-03-24 00:00
2013,0.0,2013-03-24 01:00
2013,0.0,2013-03-24 02:00
2013,0.0,2013-03-24 03:00
2013,0.0,2013-03-24 04:00
2013,0.0,2013-03-24 05:00
2013,0.0,2013-03-24 06:00
2013,48000.0,2013-03-24 07:00
2013,1180800.0,2013-03-24 08:00
2013,3360000.0,2013-03-24 09:00
2013,5424000.0,2013-03-24 10:00
2013,7372800.0,2013-03-24 11:00
2013,6787200.0,2013-03-24 12:00
2013,6700800.0,2013-03-24 13:00
2013,6201600.0,2013-03-24 14:00
2013,5491200.0,2013-03-24 15:00
2013,4800000.0,2013-03-24 16:00
2013,4972800.0,2013-03-24 17:00
2013,1248000.0,2013-03-24 18:00
2013,115200.0,2013-03-24 19:00
2013,0.0,2013-03-24 20:00
2013,0.0,2013-03-24 21:00
2013,0.0,2013-03-24 22:00
2013,0.0,2013-03-24 23:00
2013,0.0,2013-03-25 00:00
2013,0.0,2013-03-25 01:00
2013,0.0,2013-03-25 02:00
2013,0.0,2013-03-25 03:00
2013,0.0,2013-03-25 04:00
2013,0.0,2013-03-25 05:00
2013,0.0,2013-03-25 06:00
2013,57600.0,2013-03-25 07:00
2013,1526400.0,2013-03-25 08:00
2013,3878400.0,2013-03-25 09:00
2013,7968000.0,2013-03-25 10:00
2013,10233600.0,2013-03-25 11:00
2013,9340800.0,2013-03-25 12:00
2013,11577600.0,2013-03-25 13:00
2013,12355200.0,2013-03-25 14:00
2013,11280000.0,2013-03-25 15:00
2013,9302400.0,2013-03-25 16:00
2013,5884800.0,2013-03-25 17:00
2013,2083200.0,2013-03-25 18:00
