features,mae,mse,rmse,r2
"['Prec(mm)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",715692.5616993129,1175383514021.6248,1084151.056828164,0.8938286418243782
"['Humidity', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",716105.21679958,1152347205591.8093,1073474.3618698162,0.8959094912868466
"['Vapor_pressure(hPa)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",715068.9523878417,1157723991541.7263,1075975.832229389,0.8954238109449733
"['Dew_Point(C)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",715044.768802627,1160030957338.387,1077047.3329145692,0.8952154247552961
"['Local Atmospheric Pressure(hPa)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",692699.9689954404,1090519151583.9868,1044279.2498101199,0.9014943649804599
"['sunshine(hr)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",697306.3002943851,1099932179353.5464,1048776.5154471884,0.9006440944679703
"['Snowfall(cm)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",700988.6276274973,1081141155636.219,1039779.3783472622,0.9023414710993243
"['Cloud_Cover(1/10)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",690318.4511048198,1076791236764.578,1037685.5192034714,0.9027343954419295
"['Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",747031.8280009833,1249059142150.9207,1117613.1451226408,0.8871735871893466
"['year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",618262.374176313,903138255973.7877,950335.8648255825,0.9184203163365662
"['month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",694853.0200888817,1106368921437.3735,1051840.730071513,0.9000626692215604
