DateTime,Month,Day,Hour,Temperature(C),Precipitation(mm),Humidity(%),VaporPressure(hPa),DewPointTemperature(C),Sunshine(hr),SolarRadiation(MJ/m2),Snowfall(cm),TotalCloudCoverage(1/10),Visibility(10m),d2m,t2m,aerosol,power
2013-03-19 07:00:00,3,19,7,6.4,-1.0,99,9.5,6.2,0.0,0.01,-1.0,7,300,281.82224,286.23135,102.0,9600
2013-03-19 08:00:00,3,19,8,7.2,-1.0,96,9.7,6.5,0.0,0.24,-1.0,7,300,281.86746,285.86597,108.0,816000
2013-03-19 09:00:00,3,19,9,9.1,-1.0,90,10.4,7.5,0.3,0.73,-1.0,3,300,282.04712,285.64914,100.0,2899200
2013-03-19 10:00:00,3,19,10,11.1,-1.0,79,10.4,7.5,1.0,1.34,-1.0,0,400,282.88538,284.99387,94.0,5472000
2013-03-19 11:00:00,3,19,11,12.9,-1.0,74,10.9,8.3,1.0,1.82,-1.0,0,400,282.98697,284.9092,80.0,7401600
2013-03-19 12:00:00,3,19,12,14.2,-1.0,68,10.9,8.3,1.0,2.13,-1.0,3,500,283.0805,284.9153,77.0,8716800
2013-03-19 13:00:00,3,19,13,13.1,-1.0,78,11.7,9.3,0.7,1.95,-1.0,4,500,283.07184,284.95306,91.0,7612800
2013-03-19 14:00:00,3,19,14,14.7,-1.0,71,11.8,9.4,0.1,1.48,-1.0,7,400,283.06998,285.02798,105.0,6172800
2013-03-19 15:00:00,3,19,15,15.5,-1.0,67,11.7,9.3,0.0,1.19,-1.0,8,400,282.6896,284.8252,123.0,4848000
2013-03-19 16:00:00,3,19,16,16.0,-1.0,73,13.2,11.1,0.0,0.83,-1.0,10,300,282.43744,284.64554,170.0,3312000
2013-03-19 17:00:00,3,19,17,15.6,-1.0,77,13.6,11.5,0.0,0.49,-1.0,10,300,282.31415,284.50424,192.0,1804800
2013-03-19 18:00:00,3,19,18,14.7,-1.0,84,14.0,12.0,0.0,0.21,-1.0,10,300,282.15988,284.0956,205.0,672000
2013-03-19 19:00:00,3,19,19,14.0,-1.0,87,13.8,11.8,0.0,0.02,-1.0,10,300,282.17352,283.93118,214.0,57600
2013-03-20 07:00:00,3,20,7,10.0,-1.0,99,12.1,9.8,0.0,0.01,-1.0,9,600,272.03976,278.49957,91.0,9600
2013-03-20 08:00:00,3,20,8,10.2,-1.0,99,12.3,10.0,0.0,0.09,-1.0,9,600,270.10184,277.5398,104.0,451200
2013-03-20 09:00:00,3,20,9,10.0,-1.0,93,11.4,8.9,0.0,0.17,-1.0,10,600,269.87076,276.77368,105.0,864000
2013-03-20 10:00:00,3,20,10,6.0,-1.0,99,9.2,5.8,0.0,0.12,-1.0,10,600,269.15085,275.19577,102.0,729600
2013-03-20 11:00:00,3,20,11,5.3,-1.0,95,8.4,4.5,0.0,0.15,-1.0,10,900,268.8665,274.6282,81.0,883200
2013-03-20 12:00:00,3,20,12,4.6,0.0,92,7.8,3.4,0.0,0.27,-1.0,10,1000,268.73267,274.4674,42.0,1795200
2013-03-20 13:00:00,3,20,13,5.3,-1.0,86,7.6,3.1,0.1,0.67,-1.0,10,1500,268.5369,274.52588,43.0,3100800
2013-03-20 14:00:00,3,20,14,5.1,-1.0,83,7.3,2.4,0.3,1.12,-1.0,9,1700,268.25934,274.3377,25.0,4742400
2013-03-20 15:00:00,3,20,15,4.2,-1.0,84,6.9,1.7,0.4,1.25,-1.0,8,2000,268.20856,274.29446,15.0,4684800
2013-03-20 16:00:00,3,20,16,4.6,-1.0,70,5.9,-0.4,0.5,1.35,-1.0,3,2300,268.084,274.32977,23.0,4492800
2013-03-20 17:00:00,3,20,17,3.9,-1.0,72,5.8,-0.6,1.0,1.4,-1.0,0,2500,267.97684,273.97412,22.0,5356800
2013-03-20 18:00:00,3,20,18,2.1,-1.0,69,4.9,-3.0,1.0,0.66,-1.0,1,2500,267.81885,273.76404,33.0,2726400
2013-03-20 19:00:00,3,20,19,0.7,-1.0,68,4.4,-4.5,0.2,0.07,-1.0,1,2500,267.6454,273.56427,40.0,201600
2013-03-21 07:00:00,3,21,7,-2.3,-1.0,72,3.7,-6.6,0.0,0.01,-1.0,0,2000,268.66763,279.48187,48.0,28800
2013-03-21 08:00:00,3,21,8,-0.6,-1.0,60,3.5,-7.4,0.9,0.4,-1.0,0,2000,269.65826,279.111,38.0,1468800
2013-03-21 09:00:00,3,21,9,0.8,-1.0,59,3.8,-6.3,1.0,1.11,-1.0,0,2000,269.92343,278.88263,32.0,4876800
2013-03-21 10:00:00,3,21,10,1.7,-1.0,59,4.1,-5.4,1.0,1.81,-1.0,0,2300,270.6006,277.59705,34.0,8073600
2013-03-21 11:00:00,3,21,11,2.7,-1.0,54,4.0,-5.6,1.0,2.37,-1.0,0,2300,270.92892,277.25113,28.0,10329600
2013-03-21 12:00:00,3,21,12,4.1,-1.0,50,4.1,-5.4,1.0,2.73,-1.0,0,2300,270.93018,277.6482,26.0,11644800
2013-03-21 13:00:00,3,21,13,6.1,-1.0,46,4.3,-4.6,1.0,2.89,-1.0,0,2300,271.3149,277.80957,28.0,12134400
2013-03-21 14:00:00,3,21,14,6.3,-1.0,47,4.5,-4.2,1.0,2.81,-1.0,0,2300,271.86444,277.53247,22.0,11875200
2013-03-21 15:00:00,3,21,15,6.1,-1.0,59,5.6,-1.3,1.0,2.49,-1.0,0,2300,272.34952,277.32968,26.0,10761600
